locus_tag	ftype	length_bp	gene	EC_number	COG	product
KNPMNEEE_00064	CDS	963	insK_2		COG2801	Putative transposase InsK for insertion sequence element IS150
KNPMNEEE_00065	CDS	318				hypothetical protein
KNPMNEEE_00066	CDS	795				hypothetical protein
KNPMNEEE_00067	CDS	729				hypothetical protein
KNPMNEEE_00068	CDS	819				hypothetical protein
KNPMNEEE_00069	CDS	297				hypothetical protein
KNPMNEEE_00070	CDS	1587				hypothetical protein
KNPMNEEE_00071	CDS	834				hypothetical protein
KNPMNEEE_00072	CDS	1239				hypothetical protein
KNPMNEEE_00073	CDS	1149	mshA_4	2.4.1.250		D-inositol-3-phosphate glycosyltransferase
KNPMNEEE_00074	CDS	1056	gmd_1	4.2.1.47	COG1089	GDP-mannose 4,6-dehydratase
KNPMNEEE_00075	CDS	792	perA	2.6.1.102	COG0399	GDP-perosamine synthase
KNPMNEEE_00076	CDS	249				hypothetical protein
KNPMNEEE_00077	CDS	912				hypothetical protein
KNPMNEEE_00078	CDS	1032			COG3385	IS4 family transposase ISFac10
KNPMNEEE_00079	CDS	270				hypothetical protein
KNPMNEEE_00080	CDS	762				hypothetical protein
KNPMNEEE_00081	CDS	630				hypothetical protein
KNPMNEEE_00082	CDS	1488	mutS_1			DNA mismatch repair protein MutS
KNPMNEEE_00083	CDS	1515	mutS_2			DNA mismatch repair protein MutS
KNPMNEEE_00084	CDS	414				IS256 family transposase ISFac8
KNPMNEEE_00085	CDS	237				hypothetical protein
KNPMNEEE_00086	CDS	219				hypothetical protein
KNPMNEEE_00087	CDS	180				hypothetical protein
KNPMNEEE_00088	CDS	258				hypothetical protein
KNPMNEEE_00089	CDS	480				IS481 family transposase ISFac5
KNPMNEEE_00090	CDS	339				hypothetical protein
KNPMNEEE_00091	CDS	597				hypothetical protein
KNPMNEEE_00092	CDS	270				hypothetical protein
KNPMNEEE_00093	CDS	318				IS256 family transposase ISFac8
KNPMNEEE_00094	CDS	108				hypothetical protein
KNPMNEEE_00095	CDS	411				hypothetical protein
KNPMNEEE_00096	CDS	1215				hypothetical protein
KNPMNEEE_00097	CDS	585				hypothetical protein
KNPMNEEE_00098	CDS	126				hypothetical protein
KNPMNEEE_00099	CDS	576	yraA_1	3.2.-.-	COG0693	Putative cysteine protease YraA
KNPMNEEE_00100	CDS	1083				hypothetical protein
KNPMNEEE_00101	CDS	975	norW	1.18.1.-		Nitric oxide reductase FlRd-NAD(+) reductase
KNPMNEEE_00102	CDS	555				hypothetical protein
KNPMNEEE_00103	CDS	570				hypothetical protein
KNPMNEEE_00104	CDS	534				hypothetical protein
KNPMNEEE_00105	CDS	708				hypothetical protein
KNPMNEEE_00106	CDS	1314	dat_1	2.6.1.76	COG0160	Diaminobutyrate--2-oxoglutarate aminotransferase
KNPMNEEE_00107	CDS	138				hypothetical protein
KNPMNEEE_00108	CDS	342				hypothetical protein
KNPMNEEE_00109	CDS	165				hypothetical protein
KNPMNEEE_00110	CDS	1602	bepA_1	3.4.-.-		Beta-barrel assembly-enhancing protease
KNPMNEEE_00111	CDS	96				hypothetical protein
KNPMNEEE_00112	CDS	93				hypothetical protein
KNPMNEEE_00113	CDS	363				hypothetical protein
KNPMNEEE_00114	CDS	822	iaaA	3.4.19.5	COG1446	Isoaspartyl peptidase
KNPMNEEE_00115	CDS	276				hypothetical protein
KNPMNEEE_00116	CDS	126				hypothetical protein
KNPMNEEE_00117	CDS	525				hypothetical protein
KNPMNEEE_00118	CDS	207				hypothetical protein
KNPMNEEE_00119	CDS	498				hypothetical protein
KNPMNEEE_00120	CDS	114				hypothetical protein
KNPMNEEE_00121	CDS	378				hypothetical protein
KNPMNEEE_00122	CDS	537				hypothetical protein
KNPMNEEE_00123	CDS	513				hypothetical protein
KNPMNEEE_00124	CDS	567				hypothetical protein
KNPMNEEE_00125	CDS	282				hypothetical protein
KNPMNEEE_00126	CDS	324				hypothetical protein
KNPMNEEE_00127	CDS	1191	mshA_5	2.4.1.250		D-inositol-3-phosphate glycosyltransferase
KNPMNEEE_00128	CDS	1242				hypothetical protein
KNPMNEEE_00129	CDS	570				hypothetical protein
KNPMNEEE_00130	CDS	990	hddA_1	2.7.1.168		D-glycero-alpha-D-manno-heptose 7-phosphate kinase
KNPMNEEE_00131	CDS	309				hypothetical protein
KNPMNEEE_00132	CDS	1392	mdtD_1			Putative multidrug resistance protein MdtD
KNPMNEEE_00133	tRNA	76				tRNA-Arg(tcg)
KNPMNEEE_00134	CDS	1110	yjiB_1	1.14.-.-	COG2124	Putative cytochrome P450 YjiB
KNPMNEEE_00135	CDS	681	sfsA		COG1489	Sugar fermentation stimulation protein A
KNPMNEEE_00136	CDS	1194	dapE	3.5.1.18		Succinyl-diaminopimelate desuccinylase
KNPMNEEE_00137	CDS	195				hypothetical protein
KNPMNEEE_00138	CDS	1161				hypothetical protein
KNPMNEEE_00139	CDS	168				hypothetical protein
KNPMNEEE_00140	CDS	534				hypothetical protein
KNPMNEEE_00141	CDS	834				hypothetical protein
KNPMNEEE_00142	CDS	969				hypothetical protein
KNPMNEEE_00143	CDS	894	IMPDH_1	1.1.1.205		Inosine-5'-monophosphate dehydrogenase
KNPMNEEE_00144	CDS	1425	glyQS	6.1.1.14		Glycine--tRNA ligase
KNPMNEEE_00145	CDS	903	ddpD		COG0444	putative D,D-dipeptide transport ATP-binding protein DdpD
KNPMNEEE_00146	CDS	738	oppF		COG4608	Oligopeptide transport ATP-binding protein OppF
KNPMNEEE_00147	CDS	1554				hypothetical protein
KNPMNEEE_00148	CDS	126				hypothetical protein
KNPMNEEE_00149	CDS	453				hypothetical protein
KNPMNEEE_00150	CDS	1314	dat_2	2.6.1.76	COG0160	Diaminobutyrate--2-oxoglutarate aminotransferase
KNPMNEEE_00151	CDS	1398				hypothetical protein
KNPMNEEE_00152	CDS	570	QRSL1	6.3.5.7		Glutamyl-tRNA(Gln) amidotransferase subunit A, chloroplastic/mitochondrial
KNPMNEEE_00153	CDS	828	amiD	3.5.1.4	COG0154	Putative amidase AmiD
KNPMNEEE_00154	CDS	135				hypothetical protein
KNPMNEEE_00155	CDS	162				hypothetical protein
KNPMNEEE_00156	CDS	1491	gbsA_1	1.2.1.8	COG1012	Betaine aldehyde dehydrogenase
KNPMNEEE_00157	CDS	405				hypothetical protein
KNPMNEEE_00158	CDS	1542	mdlC_1	4.1.1.7		Benzoylformate decarboxylase
KNPMNEEE_00159	CDS	939		1.1.1.81	COG0111	Hydroxypyruvate reductase
KNPMNEEE_00160	CDS	438		4.1.2.27	COG0076	putative sphingosine-1-phosphate lyase
KNPMNEEE_00161	CDS	939		4.1.2.27	COG0076	putative sphingosine-1-phosphate lyase
KNPMNEEE_00162	CDS	1017	xylB	2.7.1.17		Xylulose kinase
KNPMNEEE_00163	CDS	411	lsrK	2.7.1.189	COG1070	Autoinducer-2 kinase
KNPMNEEE_00164	CDS	162				hypothetical protein
KNPMNEEE_00165	CDS	1251		2.7.1.165	COG2379	D-glycerate 2-kinase
KNPMNEEE_00166	CDS	1512				hypothetical protein
KNPMNEEE_00167	CDS	1161	pncB2	6.3.4.21	COG1488	Nicotinate phosphoribosyltransferase pncB2
KNPMNEEE_00168	CDS	549	rutB	3.5.1.110		Peroxyureidoacrylate/ureidoacrylate amidohydrolase RutB
KNPMNEEE_00169	CDS	1392	cysS	6.1.1.16	COG0215	Cysteine--tRNA ligase
KNPMNEEE_00170	CDS	258				hypothetical protein
KNPMNEEE_00171	CDS	114				hypothetical protein
KNPMNEEE_00172	CDS	1110				hypothetical protein
KNPMNEEE_00173	CDS	954	cysK	2.5.1.47		Cysteine synthase
KNPMNEEE_00174	CDS	1401	hdc	4.1.1.22		Histidine decarboxylase
KNPMNEEE_00175	CDS	693	racX	5.1.1.10	COG1794	Broad specificity amino-acid racemase RacX
KNPMNEEE_00176	CDS	1293				hypothetical protein
KNPMNEEE_00177	CDS	558				hypothetical protein
KNPMNEEE_00178	CDS	414				hypothetical protein
KNPMNEEE_00179	CDS	966	pdxA2	1.1.1.409	COG1995	D-erythronate 4-phosphate dehydrogenase
KNPMNEEE_00180	CDS	1494	mdtD_2			Putative multidrug resistance protein MdtD
KNPMNEEE_00181	CDS	405				hypothetical protein
KNPMNEEE_00182	CDS	876				hypothetical protein
KNPMNEEE_00183	CDS	270				hypothetical protein
KNPMNEEE_00184	CDS	690				hypothetical protein
KNPMNEEE_00185	CDS	543				hypothetical protein
KNPMNEEE_00186	CDS	288				hypothetical protein
KNPMNEEE_00187	CDS	624	vldH	3.1.3.101		Validoxylamine A 7'-phosphate phosphatase
KNPMNEEE_00188	CDS	1956	pepO_1	3.4.24.-	COG3590	Neutral endopeptidase
KNPMNEEE_00189	CDS	210				hypothetical protein
KNPMNEEE_00190	CDS	1044				hypothetical protein
KNPMNEEE_00191	CDS	267				hypothetical protein
KNPMNEEE_00192	CDS	1356	lpdA	1.8.1.4	COG1249	Dihydrolipoyl dehydrogenase
KNPMNEEE_00193	CDS	270				hypothetical protein
KNPMNEEE_00194	CDS	282				hypothetical protein
KNPMNEEE_00195	CDS	969				hypothetical protein
KNPMNEEE_00196	CDS	1434				hypothetical protein
KNPMNEEE_00197	CDS	564	yveA_1		COG0531	Aspartate-proton symporter
KNPMNEEE_00198	CDS	999				IS200/IS605 family transposase ISMma22
KNPMNEEE_00199	CDS	432				hypothetical protein
KNPMNEEE_00200	CDS	1215	mdtH			Multidrug resistance protein MdtH
KNPMNEEE_00201	CDS	138				hypothetical protein
KNPMNEEE_00202	CDS	1416				hypothetical protein
KNPMNEEE_00203	CDS	1383	bmr3			Multidrug resistance protein 3
KNPMNEEE_00204	CDS	1137				IS200/IS605 family transposase ISNma16
KNPMNEEE_00205	CDS	201				hypothetical protein
KNPMNEEE_00206	CDS	189				hypothetical protein
KNPMNEEE_00207	CDS	1101				hypothetical protein
KNPMNEEE_00208	CDS	1362	cobB	6.3.5.9	COG1797	Hydrogenobyrinate a,c-diamide synthase
KNPMNEEE_00209	CDS	990	cbiG	3.7.1.12	COG2073	Cobalt-precorrin-5A hydrolase
KNPMNEEE_00210	CDS	1203	ydjE_1			Inner membrane metabolite transport protein YdjE
KNPMNEEE_00211	CDS	2004				hypothetical protein
KNPMNEEE_00212	CDS	684				hypothetical protein
KNPMNEEE_00213	CDS	1644				hypothetical protein
KNPMNEEE_00214	tRNA	85				tRNA-Ser(gga)
KNPMNEEE_00215	CDS	444	asnC		COG1522	Regulatory protein AsnC
KNPMNEEE_00216	CDS	960	asnS_1	6.1.1.22	COG0017	Asparagine--tRNA ligase
KNPMNEEE_00217	CDS	324				hypothetical protein
KNPMNEEE_00218	CDS	963	htrA			Putative serine protease HtrA
KNPMNEEE_00219	CDS	591				hypothetical protein
KNPMNEEE_00220	CDS	558				hypothetical protein
KNPMNEEE_00221	CDS	324				hypothetical protein
KNPMNEEE_00222	CDS	585				hypothetical protein
KNPMNEEE_00223	CDS	228				hypothetical protein
KNPMNEEE_00224	CDS	261				hypothetical protein
KNPMNEEE_00225	CDS	345				hypothetical protein
KNPMNEEE_00226	CDS	276				hypothetical protein
KNPMNEEE_00227	CDS	174				hypothetical protein
KNPMNEEE_00228	CDS	369	uxuA_1	4.2.1.8	COG1312	Mannonate dehydratase
KNPMNEEE_00229	CDS	441	uxuA_2	4.2.1.8		Mannonate dehydratase
KNPMNEEE_00230	CDS	420				hypothetical protein
KNPMNEEE_00231	CDS	285				hypothetical protein
KNPMNEEE_00232	CDS	216				hypothetical protein
KNPMNEEE_00233	CDS	1197	dgoD_1	4.2.1.6	COG4948	D-galactonate dehydratase
KNPMNEEE_00234	CDS	1077	tdh	1.1.1.103		L-threonine 3-dehydrogenase
KNPMNEEE_00235	CDS	270				hypothetical protein
KNPMNEEE_00236	CDS	783	bacC	1.1.1.385		Dihydroanticapsin 7-dehydrogenase
KNPMNEEE_00237	CDS	1920	acs_1	6.2.1.1	COG0365	Acetyl-coenzyme A synthetase
KNPMNEEE_00238	CDS	636	satP		COG1584	Succinate-acetate/proton symporter SatP
KNPMNEEE_00239	CDS	1545				hypothetical protein
KNPMNEEE_00240	CDS	1425	ribZ_1			Riboflavin transporter RibZ
KNPMNEEE_00241	CDS	246				hypothetical protein
KNPMNEEE_00242	CDS	792				hypothetical protein
KNPMNEEE_00243	CDS	876				hypothetical protein
KNPMNEEE_00244	CDS	255				hypothetical protein
KNPMNEEE_00245	CDS	1026				hypothetical protein
KNPMNEEE_00246	CDS	336				hypothetical protein
KNPMNEEE_00247	CDS	1086				hypothetical protein
KNPMNEEE_00248	CDS	621	mobA_1	2.7.7.77		Molybdenum cofactor guanylyltransferase
KNPMNEEE_00249	CDS	783				hypothetical protein
KNPMNEEE_00250	CDS	363				hypothetical protein
KNPMNEEE_00251	CDS	762				hypothetical protein
KNPMNEEE_00252	CDS	1095				hypothetical protein
KNPMNEEE_00253	CDS	375	dnaK_1			Chaperone protein DnaK
KNPMNEEE_00254	CDS	1326	dnaK_2		COG0443	Chaperone protein DnaK
KNPMNEEE_00255	CDS	1281				hypothetical protein
KNPMNEEE_00256	CDS	135				hypothetical protein
KNPMNEEE_00257	CDS	327	hisB_1	3.1.3.15		Histidine biosynthesis bifunctional protein HisB
KNPMNEEE_00258	CDS	789				hypothetical protein
KNPMNEEE_00259	CDS	1032			COG3385	IS4 family transposase ISFac10
KNPMNEEE_00260	CDS	441	moaC2	4.6.1.17	COG0315	Cyclic pyranopterin monophosphate synthase 2
KNPMNEEE_00261	CDS	501	moaB		COG0521	Molybdenum cofactor biosynthesis protein B
KNPMNEEE_00262	CDS	897				hypothetical protein
KNPMNEEE_00263	CDS	870	hbd_1	1.1.1.157	COG1250	3-hydroxybutyryl-CoA dehydrogenase
KNPMNEEE_00264	CDS	423				hypothetical protein
KNPMNEEE_00265	CDS	1200	hyuC	3.5.1.87	COG0624	N-carbamoyl-L-amino-acid hydrolase
KNPMNEEE_00266	CDS	1533	mdlC_2	4.1.1.7		Benzoylformate decarboxylase
KNPMNEEE_00267	CDS	771				hypothetical protein
KNPMNEEE_00268	CDS	840				hypothetical protein
KNPMNEEE_00269	CDS	1164				hypothetical protein
KNPMNEEE_00270	CDS	963	yajO	1.1.-.-	COG0667	1-deoxyxylulose-5-phosphate synthase YajO
KNPMNEEE_00271	CDS	186				hypothetical protein
KNPMNEEE_00272	CDS	1200	yfdE_1	2.8.3.19	COG1804	Acetyl-CoA:oxalate CoA-transferase
KNPMNEEE_00273	CDS	537	msrAB			Peptide methionine sulfoxide reductase MsrA/MsrB
KNPMNEEE_00274	CDS	330				hypothetical protein
KNPMNEEE_00275	CDS	2040	cdhA_1	1.17.5.2		Caffeine dehydrogenase subunit alpha
KNPMNEEE_00276	CDS	804				hypothetical protein
KNPMNEEE_00277	CDS	795		1.1.1.391	COG1028	3-beta-hydroxycholanate 3-dehydrogenase (NAD(+)) 1
KNPMNEEE_00278	CDS	1476	araE		COG0477	Arabinose-proton symporter
KNPMNEEE_00279	CDS	192				hypothetical protein
KNPMNEEE_00280	CDS	915	hbd_2	1.1.1.157	COG1250	3-hydroxybutyryl-CoA dehydrogenase
KNPMNEEE_00281	CDS	666	gph	3.1.3.18		Phosphoglycolate phosphatase
KNPMNEEE_00282	CDS	1170	naiP_1			Putative niacin/nicotinamide transporter NaiP
KNPMNEEE_00283	CDS	405				hypothetical protein
KNPMNEEE_00284	CDS	2274				hypothetical protein
KNPMNEEE_00285	CDS	954	gfo	1.1.99.28		Glucose--fructose oxidoreductase
KNPMNEEE_00286	CDS	357				hypothetical protein
KNPMNEEE_00287	CDS	744				hypothetical protein
KNPMNEEE_00288	CDS	474				hypothetical protein
KNPMNEEE_00289	CDS	576	folE	3.5.4.16	COG0302	GTP cyclohydrolase 1
KNPMNEEE_00290	CDS	645	queE	4.3.99.3	COG0602	7-carboxy-7-deazaguanine synthase
KNPMNEEE_00291	CDS	420				hypothetical protein
KNPMNEEE_00292	CDS	201				hypothetical protein
KNPMNEEE_00293	CDS	573	pdxT	4.3.3.6	COG0311	Pyridoxal 5'-phosphate synthase subunit PdxT
KNPMNEEE_00294	CDS	993	pdxS	4.3.3.6	COG0214	Pyridoxal 5'-phosphate synthase subunit PdxS
KNPMNEEE_00295	CDS	969	mdh	1.1.1.37	COG0039	Malate dehydrogenase
KNPMNEEE_00296	CDS	234				hypothetical protein
KNPMNEEE_00297	CDS	1404	sdhA	1.3.5.1	COG1053	Succinate dehydrogenase flavoprotein subunit
KNPMNEEE_00298	CDS	942				hypothetical protein
KNPMNEEE_00299	CDS	876	sdhE	1.3.5.-	COG2048	8-methylmenaquinol:fumarate reductase membrane anchor subunit
KNPMNEEE_00300	CDS	348				hypothetical protein
KNPMNEEE_00301	CDS	945				hypothetical protein
KNPMNEEE_00302	CDS	1899	korA_1	1.2.7.3	COG0674	2-oxoglutarate oxidoreductase subunit KorA
KNPMNEEE_00303	CDS	285				hypothetical protein
KNPMNEEE_00304	CDS	855	sucD	6.2.1.5	COG0074	Succinate--CoA ligase [ADP-forming] subunit alpha
KNPMNEEE_00305	CDS	1101	sucC	6.2.1.4	COG0045	Succinate--CoA ligase [GDP-forming] subunit beta
KNPMNEEE_00306	CDS	837				hypothetical protein
KNPMNEEE_00307	CDS	315				hypothetical protein
KNPMNEEE_00308	CDS	1332	crhR	3.6.4.13		RNA helicase CrhR
KNPMNEEE_00309	CDS	726	hprA	1.1.1.29	COG1052	Glycerate dehydrogenase
KNPMNEEE_00310	CDS	189				hypothetical protein
KNPMNEEE_00311	CDS	1308		1.1.1.38		NAD-dependent malic enzyme
KNPMNEEE_00312	CDS	468				hypothetical protein
KNPMNEEE_00313	CDS	2514	citB	4.2.1.-	COG1048	Aconitate/2-methylaconitate hydratase
KNPMNEEE_00314	CDS	873	dapA	4.3.3.7	COG0329	4-hydroxy-tetrahydrodipicolinate synthase
KNPMNEEE_00315	CDS	339				hypothetical protein
KNPMNEEE_00316	CDS	1152				hypothetical protein
KNPMNEEE_00317	CDS	1341	menE_1	6.2.1.26		2-succinylbenzoate--CoA ligase
KNPMNEEE_00318	CDS	720	fabG_1	1.1.1.100		3-oxoacyl-[acyl-carrier-protein] reductase FabG
KNPMNEEE_00319	CDS	96				hypothetical protein
KNPMNEEE_00320	CDS	879	rihA	3.2.-.-	COG1957	Pyrimidine-specific ribonucleoside hydrolase RihA
KNPMNEEE_00321	CDS	453				hypothetical protein
KNPMNEEE_00322	CDS	963	coaA	2.7.1.33		Pantothenate kinase
KNPMNEEE_00323	CDS	1476	csbC_1			putative metabolite transport protein CsbC
KNPMNEEE_00324	CDS	660				hypothetical protein
KNPMNEEE_00325	CDS	1437				hypothetical protein
KNPMNEEE_00326	CDS	1086				hypothetical protein
KNPMNEEE_00327	CDS	1086				hypothetical protein
KNPMNEEE_00328	CDS	1299	nanT_1			Sialic acid transporter NanT
KNPMNEEE_00329	CDS	1092	mftC	2.-.-.-	COG0535	Putative mycofactocin radical SAM maturase MftC
KNPMNEEE_00330	tRNA	74				tRNA-Asp(gtc)
KNPMNEEE_00331	CDS	228				hypothetical protein
KNPMNEEE_00332	CDS	1209	hemA	1.2.1.70	COG0373	Glutamyl-tRNA reductase
KNPMNEEE_00333	CDS	2259				hypothetical protein
KNPMNEEE_00334	CDS	345				hypothetical protein
KNPMNEEE_00335	CDS	1518	mctP			Monocarboxylate transport permease protein
KNPMNEEE_00336	CDS	210				hypothetical protein
KNPMNEEE_00337	CDS	720	nadE	6.3.1.5		NH(3)-dependent NAD(+) synthetase
KNPMNEEE_00338	CDS	1287	nhaP			K(+)/H(+) antiporter NhaP
KNPMNEEE_00339	tRNA	72				tRNA-Ala(ggc)
KNPMNEEE_00340	CDS	129				hypothetical protein
KNPMNEEE_00341	CDS	390				IS256 family transposase ISFac8
KNPMNEEE_00342	CDS	318				IS256 family transposase ISFac8
KNPMNEEE_00343	CDS	249				hypothetical protein
KNPMNEEE_00344	CDS	264				IS66 family transposase ISArch19
KNPMNEEE_00345	CDS	351				hypothetical protein
KNPMNEEE_00346	CDS	1590				hypothetical protein
KNPMNEEE_00347	CDS	318				IS256 family transposase ISFac7
KNPMNEEE_00348	CDS	174				hypothetical protein
KNPMNEEE_00349	CDS	411				hypothetical protein
KNPMNEEE_00350	CDS	255				hypothetical protein
KNPMNEEE_00351	CDS	108				hypothetical protein
KNPMNEEE_00352	CDS	150				hypothetical protein
KNPMNEEE_00353	CDS	255				hypothetical protein
KNPMNEEE_00354	CDS	408				hypothetical protein
KNPMNEEE_00355	CDS	345				hypothetical protein
KNPMNEEE_00356	CDS	513				hypothetical protein
KNPMNEEE_00357	CDS	1293				hypothetical protein
KNPMNEEE_00358	CDS	324				hypothetical protein
KNPMNEEE_00359	CDS	966	insK_3		COG2801	Putative transposase InsK for insertion sequence element IS150
KNPMNEEE_00360	CDS	273				hypothetical protein
KNPMNEEE_00361	CDS	237				hypothetical protein
KNPMNEEE_00362	CDS	414				IS256 family transposase ISFac8
KNPMNEEE_00363	CDS	369				IS256 family transposase ISFac8
KNPMNEEE_00364	CDS	3078	tri1	3.4.21.-	COG0793	Tricorn protease 
KNPMNEEE_00365	CDS	141				hypothetical protein
KNPMNEEE_00366	CDS	5097	dbpA	3.6.4.13		ATP-dependent RNA helicase DbpA
KNPMNEEE_00367	CDS	2007	cdhA_2	1.17.5.2		Caffeine dehydrogenase subunit alpha
KNPMNEEE_00368	CDS	480	cutS	1.2.5.3		Carbon monoxide dehydrogenase small chain
KNPMNEEE_00369	CDS	855	cutM	1.2.5.3		Carbon monoxide dehydrogenase medium chain
KNPMNEEE_00370	CDS	336	hcaC			3-phenylpropionate/cinnamic acid dioxygenase ferredoxin subunit
KNPMNEEE_00371	CDS	162				hypothetical protein
KNPMNEEE_00372	CDS	198				hypothetical protein
KNPMNEEE_00373	tRNA	74				tRNA-Gly(gcc)
KNPMNEEE_00374	CDS	945				hypothetical protein
KNPMNEEE_00375	CDS	918				hypothetical protein
KNPMNEEE_00376	CDS	1071	ywlC	2.7.7.87	COG0009	Threonylcarbamoyl-AMP synthase
KNPMNEEE_00377	CDS	990				IS607 family transposase ISTvo1
KNPMNEEE_00378	CDS	312				IS607 family transposase ISTvo1
KNPMNEEE_00379	CDS	597				hypothetical protein
KNPMNEEE_00380	CDS	2388				hypothetical protein
KNPMNEEE_00381	CDS	477				hypothetical protein
KNPMNEEE_00382	CDS	90				hypothetical protein
KNPMNEEE_00383	CDS	1080	IMPDH_2	1.1.1.205		Inosine-5'-monophosphate dehydrogenase
KNPMNEEE_00384	CDS	1158	glyA_1	2.1.2.1		Serine hydroxymethyltransferase
KNPMNEEE_00385	CDS	957		2.7.8.-		Cardiolipin synthase
KNPMNEEE_00386	CDS	381				hypothetical protein
KNPMNEEE_00387	CDS	219				hypothetical protein
KNPMNEEE_00388	CDS	330				hypothetical protein
KNPMNEEE_00389	CDS	405				hypothetical protein
KNPMNEEE_00390	CDS	1674				hypothetical protein
KNPMNEEE_00391	CDS	1338	lysA	4.1.1.20	COG0019	Diaminopimelate decarboxylase
KNPMNEEE_00392	CDS	1611	yveA_2		COG0531	Aspartate-proton symporter
KNPMNEEE_00393	CDS	165				hypothetical protein
KNPMNEEE_00394	CDS	1680	acsA_1	6.2.1.1	COG0365	Acetyl-coenzyme A synthetase
KNPMNEEE_00395	CDS	168				hypothetical protein
KNPMNEEE_00396	CDS	222				hypothetical protein
KNPMNEEE_00397	CDS	1128	cefD	5.1.1.17	COG0520	Isopenicillin N epimerase
KNPMNEEE_00398	CDS	930				hypothetical protein
KNPMNEEE_00399	tRNA	73				tRNA-Pro(cgg)
KNPMNEEE_00400	CDS	573	paiB		COG2808	Protease synthase and sporulation protein PAI 2
KNPMNEEE_00401	CDS	1239	pgk	2.7.2.3	COG0126	Phosphoglycerate kinase
