item	layer	value
GC_00000018	S25910037	1
GC_00000018	S25910039	1
GC_00000018	S33314612	1
GC_00000018	S749695	1
GC_00000018	SFerroplasmacircular	1
GC_00000018	SMAG00006	1
GC_00000019	S12936484	1
GC_00000019	S259100318	1
GC_00000019	S259100328	1
GC_00000019	S259100333	1
GC_00000019	S259100335	1
GC_00000019	S259100337	1
GC_00000019	S259100341	1
GC_00000019	S25910037	1
GC_00000019	S25910039	1
GC_00000019	S33314612	1
GC_00000019	S749695	1
GC_00000019	SFerroplasmacircular	1
GC_00000019	SMAG00006	1
GC_00000020	S12936484	1
GC_00000020	S259100318	1
GC_00000020	S259100328	1
GC_00000020	S259100333	1
GC_00000020	S259100335	1
GC_00000020	S259100337	1
GC_00000020	S259100341	1
GC_00000020	S25910037	1
GC_00000020	S25910039	1
GC_00000020	S33314612	1
GC_00000020	S749695	1
GC_00000020	SFerroplasmacircular	1
GC_00000020	SMAG00006	1
GC_00000021	S12936484	1
GC_00000021	S259100318	1
GC_00000021	S259100328	1
GC_00000021	S259100333	1
GC_00000021	S259100335	1
GC_00000021	S259100337	0
GC_00000021	S259100341	1
GC_00000021	S25910037	1
GC_00000021	S25910039	1
GC_00000021	S33314612	1
GC_00000021	S749695	1
GC_00000021	SFerroplasmacircular	1
GC_00000021	SMAG00006	1
GC_00000022	S12936484	1
GC_00000022	S259100318	1
GC_00000022	S259100328	1
GC_00000022	S259100333	1
GC_00000022	S259100335	1
GC_00000022	S259100337	1
GC_00000022	S259100341	1
GC_00000022	S25910037	1
GC_00000022	S25910039	1
GC_00000022	S33314612	1
GC_00000022	S749695	1
GC_00000022	SFerroplasmacircular	1
GC_00000022	SMAG00006	1
GC_00000023	S12936484	0
GC_00000023	S259100318	0
GC_00000023	S259100328	0
GC_00000023	S259100333	1
GC_00000023	S259100335	1
GC_00000023	S259100337	1
GC_00000023	S259100341	1
GC_00000023	S25910037	1
GC_00000023	S25910039	0
GC_00000023	S33314612	0
GC_00000023	S749695	0
GC_00000023	SFerroplasmacircular	1
GC_00000023	SMAG00006	0
GC_00000024	S12936484	0
GC_00000024	S259100318	0
GC_00000024	S259100328	0
GC_00000024	S259100333	0
GC_00000024	S259100335	0
GC_00000024	S259100337	0
GC_00000024	S259100341	0
GC_00000024	S25910037	0
GC_00000024	S25910039	0
GC_00000024	S33314612	0
GC_00000024	S749695	0
GC_00000024	SFerroplasmacircular	1
GC_00000024	SMAG00006	0
GC_00000025	S12936484	1
GC_00000025	S259100318	1
GC_00000025	S259100328	1
GC_00000025	S259100333	1
GC_00000025	S259100335	0
GC_00000025	S259100337	0
GC_00000025	S259100341	1
GC_00000025	S25910037	1
GC_00000025	S25910039	1
GC_00000025	S33314612	1
GC_00000025	S749695	1
GC_00000025	SFerroplasmacircular	1
GC_00000025	SMAG00006	1
GC_00000026	S12936484	1
GC_00000026	S259100318	1
GC_00000026	S259100328	0
GC_00000026	S259100333	0
GC_00000026	S259100335	0
GC_00000026	S259100337	0
GC_00000026	S259100341	1
GC_00000026	S25910037	1
GC_00000026	S25910039	0
GC_00000026	S33314612	1
GC_00000026	S749695	1
GC_00000026	SFerroplasmacircular	1
GC_00000026	SMAG00006	1
GC_00000027	S12936484	1
GC_00000027	S259100318	1
GC_00000027	S259100328	1
GC_00000027	S259100333	1
GC_00000027	S259100335	1
GC_00000027	S259100337	1
GC_00000027	S259100341	1
GC_00000027	S25910037	1
GC_00000027	S25910039	1
GC_00000027	S33314612	1
GC_00000027	S749695	1
GC_00000027	SFerroplasmacircular	1
GC_00000027	SMAG00006	1
GC_00000028	S12936484	1
GC_00000028	S259100318	1
GC_00000028	S259100328	1
GC_00000028	S259100333	1
GC_00000028	S259100335	1
GC_00000028	S259100337	1
GC_00000028	S259100341	0
GC_00000028	S25910037	1
GC_00000028	S25910039	1
GC_00000028	S33314612	1
GC_00000028	S749695	1
GC_00000028	SFerroplasmacircular	1
GC_00000028	SMAG00006	1
GC_00000029	S12936484	1
GC_00000029	S259100318	1
GC_00000029	S259100328	1
GC_00000029	S259100333	1
GC_00000029	S259100335	1
GC_00000029	S259100337	1
GC_00000029	S259100341	1
GC_00000029	S25910037	1
GC_00000029	S25910039	1
GC_00000029	S33314612	1
GC_00000029	S749695	1
GC_00000029	SFerroplasmacircular	1
GC_00000029	SMAG00006	1
GC_00000030	S12936484	0
GC_00000030	S259100318	0
GC_00000030	S259100328	0
GC_00000030	S259100333	0
GC_00000030	S259100335	0
GC_00000030	S259100337	0
GC_00000030	S259100341	0
GC_00000030	S25910037	0
GC_00000030	S25910039	0
GC_00000030	S33314612	1
GC_00000030	S749695	1
GC_00000030	SFerroplasmacircular	1
GC_00000030	SMAG00006	1
GC_00000031	S12936484	1
GC_00000031	S259100318	1
GC_00000031	S259100328	1
GC_00000031	S259100333	1
GC_00000031	S259100335	1
GC_00000031	S259100337	1
GC_00000031	S259100341	1
GC_00000031	S25910037	0
GC_00000031	S25910039	1
GC_00000031	S33314612	1
GC_00000031	S749695	1
GC_00000031	SFerroplasmacircular	1
GC_00000031	SMAG00006	1
GC_00000032	S12936484	0
GC_00000032	S259100318	0
GC_00000032	S259100328	1
GC_00000032	S259100333	1
GC_00000032	S259100335	1
GC_00000032	S259100337	0
GC_00000032	S259100341	0
GC_00000032	S25910037	1
GC_00000032	S25910039	1
GC_00000032	S33314612	0
GC_00000032	S749695	0
GC_00000032	SFerroplasmacircular	0
GC_00000032	SMAG00006	0
GC_00000033	S12936484	0
GC_00000033	S259100318	0
GC_00000033	S259100328	1
GC_00000033	S259100333	1
GC_00000033	S259100335	0
GC_00000033	S259100337	0
GC_00000033	S259100341	0
GC_00000033	S25910037	1
GC_00000033	S25910039	0
GC_00000033	S33314612	1
GC_00000033	S749695	0
GC_00000033	SFerroplasmacircular	1
GC_00000033	SMAG00006	0
GC_00000034	S12936484	0
GC_00000034	S259100318	0
GC_00000034	S259100328	0
GC_00000034	S259100333	0
GC_00000034	S259100335	0
GC_00000034	S259100337	0
GC_00000034	S259100341	0
GC_00000034	S25910037	0
GC_00000034	S25910039	0
GC_00000034	S33314612	1
GC_00000034	S749695	1
GC_00000034	SFerroplasmacircular	0
GC_00000034	SMAG00006	1
GC_00000035	S12936484	1
GC_00000035	S259100318	1
GC_00000035	S259100328	1
GC_00000035	S259100333	1
GC_00000035	S259100335	1
GC_00000035	S259100337	1
GC_00000035	S259100341	0
GC_00000035	S25910037	1
GC_00000035	S25910039	1
GC_00000035	S33314612	1
GC_00000035	S749695	1
GC_00000035	SFerroplasmacircular	1
GC_00000035	SMAG00006	1
GC_00000036	S12936484	1
GC_00000036	S259100318	1
GC_00000036	S259100328	1
GC_00000036	S259100333	1
GC_00000036	S259100335	1
GC_00000036	S259100337	1
GC_00000036	S259100341	1
GC_00000036	S25910037	1
GC_00000036	S25910039	1
GC_00000036	S33314612	1
GC_00000036	S749695	1
GC_00000036	SFerroplasmacircular	1
GC_00000036	SMAG00006	1
GC_00000037	S12936484	1
GC_00000037	S259100318	1
GC_00000037	S259100328	1
GC_00000037	S259100333	1
GC_00000037	S259100335	1
GC_00000037	S259100337	1
GC_00000037	S259100341	1
GC_00000037	S25910037	1
GC_00000037	S25910039	1
GC_00000037	S33314612	1
GC_00000037	S749695	1
GC_00000037	SFerroplasmacircular	1
GC_00000037	SMAG00006	1
GC_00000038	S12936484	1
GC_00000038	S259100318	1
GC_00000038	S259100328	1
GC_00000038	S259100333	0
GC_00000038	S259100335	1
GC_00000038	S259100337	0
GC_00000038	S259100341	0
GC_00000038	S25910037	1
GC_00000038	S25910039	1
GC_00000038	S33314612	0
GC_00000038	S749695	0
GC_00000038	SFerroplasmacircular	0
GC_00000038	SMAG00006	0
GC_00000039	S12936484	1
GC_00000039	S259100318	1
GC_00000039	S259100328	1
GC_00000039	S259100333	1
GC_00000039	S259100335	1
GC_00000039	S259100337	1
GC_00000039	S259100341	1
GC_00000039	S25910037	1
GC_00000039	S25910039	1
GC_00000039	S33314612	1
GC_00000039	S749695	1
GC_00000039	SFerroplasmacircular	1
GC_00000039	SMAG00006	1
GC_00000040	S12936484	1
GC_00000040	S259100318	1
GC_00000040	S259100328	1
GC_00000040	S259100333	1
GC_00000040	S259100335	1
GC_00000040	S259100337	1
GC_00000040	S259100341	1
GC_00000040	S25910037	1
GC_00000040	S25910039	1
GC_00000040	S33314612	1
GC_00000040	S749695	1
GC_00000040	SFerroplasmacircular	1
GC_00000040	SMAG00006	1
GC_00000041	S12936484	1
GC_00000041	S259100318	0
GC_00000041	S259100328	1
GC_00000041	S259100333	0
GC_00000041	S259100335	0
GC_00000041	S259100337	1
GC_00000041	S259100341	0
GC_00000041	S25910037	0
GC_00000041	S25910039	1
GC_00000041	S33314612	0
GC_00000041	S749695	0
GC_00000041	SFerroplasmacircular	0
GC_00000041	SMAG00006	0
GC_00000042	S12936484	1
GC_00000042	S259100318	1
GC_00000042	S259100328	1
GC_00000042	S259100333	1
GC_00000042	S259100335	1
GC_00000042	S259100337	1
GC_00000042	S259100341	1
GC_00000042	S25910037	1
GC_00000042	S25910039	1
GC_00000042	S33314612	1
GC_00000042	S749695	1
GC_00000042	SFerroplasmacircular	1
GC_00000042	SMAG00006	1
GC_00000043	S12936484	1
GC_00000043	S259100318	1
GC_00000043	S259100328	1
GC_00000043	S259100333	1
GC_00000043	S259100335	0
GC_00000043	S259100337	0
GC_00000043	S259100341	1
GC_00000043	S25910037	1
GC_00000043	S25910039	1
GC_00000043	S33314612	1
GC_00000043	S749695	1
GC_00000043	SFerroplasmacircular	1
GC_00000043	SMAG00006	1
GC_00000044	S12936484	1
GC_00000044	S259100318	1
GC_00000044	S259100328	1
GC_00000044	S259100333	1
GC_00000044	S259100335	1
GC_00000044	S259100337	1
GC_00000044	S259100341	1
GC_00000044	S25910037	1
GC_00000044	S25910039	1
GC_00000044	S33314612	1
GC_00000044	S749695	1
GC_00000044	SFerroplasmacircular	1
GC_00000044	SMAG00006	1
GC_00000045	S12936484	1
GC_00000045	S259100318	1
GC_00000045	S259100328	1
GC_00000045	S259100333	1
GC_00000045	S259100335	1
GC_00000045	S259100337	0
GC_00000045	S259100341	0
GC_00000045	S25910037	1
GC_00000045	S25910039	1
GC_00000045	S33314612	0
GC_00000045	S749695	0
GC_00000045	SFerroplasmacircular	0
GC_00000045	SMAG00006	0
GC_00000046	S12936484	1
GC_00000046	S259100318	1
GC_00000046	S259100328	1
GC_00000046	S259100333	1
GC_00000046	S259100335	1
GC_00000046	S259100337	1
GC_00000046	S259100341	1
GC_00000046	S25910037	1
GC_00000046	S25910039	1
GC_00000046	S33314612	1
GC_00000046	S749695	1
GC_00000046	SFerroplasmacircular	1
GC_00000046	SMAG00006	1
GC_00000047	S12936484	1
GC_00000047	S259100318	1
GC_00000047	S259100328	1
GC_00000047	S259100333	1
GC_00000047	S259100335	1
GC_00000047	S259100337	1
GC_00000047	S259100341	1
GC_00000047	S25910037	1
GC_00000047	S25910039	1
GC_00000047	S33314612	1
GC_00000047	S749695	1
GC_00000047	SFerroplasmacircular	1
GC_00000047	SMAG00006	1
GC_00000048	S12936484	1
GC_00000048	S259100318	1
GC_00000048	S259100328	1
GC_00000048	S259100333	1
GC_00000048	S259100335	1
GC_00000048	S259100337	1
GC_00000048	S259100341	1
GC_00000048	S25910037	0
GC_00000048	S25910039	1
GC_00000048	S33314612	1
GC_00000048	S749695	1
GC_00000048	SFerroplasmacircular	1
GC_00000048	SMAG00006	1
GC_00000049	S12936484	0
GC_00000049	S259100318	1
GC_00000049	S259100328	0
GC_00000049	S259100333	0
GC_00000049	S259100335	0
GC_00000049	S259100337	0
GC_00000049	S259100341	0
GC_00000049	S25910037	0
GC_00000049	S25910039	0
GC_00000049	S33314612	0
GC_00000049	S749695	0
GC_00000049	SFerroplasmacircular	1
GC_00000049	SMAG00006	0
GC_00000050	S12936484	1
GC_00000050	S259100318	0
GC_00000050	S259100328	1
GC_00000050	S259100333	1
GC_00000050	S259100335	0
GC_00000050	S259100337	0
GC_00000050	S259100341	0
GC_00000050	S25910037	1
GC_00000050	S25910039	1
GC_00000050	S33314612	0
GC_00000050	S749695	0
GC_00000050	SFerroplasmacircular	0
GC_00000050	SMAG00006	0
GC_00000051	S12936484	1
GC_00000051	S259100318	0
GC_00000051	S259100328	0
GC_00000051	S259100333	1
GC_00000051	S259100335	1
GC_00000051	S259100337	1
GC_00000051	S259100341	0
GC_00000051	S25910037	1
GC_00000051	S25910039	1
GC_00000051	S33314612	1
GC_00000051	S749695	1
GC_00000051	SFerroplasmacircular	1
GC_00000051	SMAG00006	1
GC_00000052	S12936484	1
GC_00000052	S259100318	1
GC_00000052	S259100328	1
GC_00000052	S259100333	1
GC_00000052	S259100335	0
GC_00000052	S259100337	1
GC_00000052	S259100341	1
GC_00000052	S25910037	1
GC_00000052	S25910039	1
GC_00000052	S33314612	1
GC_00000052	S749695	1
GC_00000052	SFerroplasmacircular	1
GC_00000052	SMAG00006	1
GC_00000053	S12936484	1
GC_00000053	S259100318	1
GC_00000053	S259100328	1
GC_00000053	S259100333	1
GC_00000053	S259100335	1
GC_00000053	S259100337	1
GC_00000053	S259100341	1
GC_00000053	S25910037	1
GC_00000053	S25910039	1
GC_00000053	S33314612	1
GC_00000053	S749695	1
GC_00000053	SFerroplasmacircular	1
GC_00000053	SMAG00006	1
GC_00000054	S12936484	1
GC_00000054	S259100318	1
GC_00000054	S259100328	0
GC_00000054	S259100333	1
GC_00000054	S259100335	0
GC_00000054	S259100337	0
GC_00000054	S259100341	1
GC_00000054	S25910037	1
GC_00000054	S25910039	0
GC_00000054	S33314612	1
GC_00000054	S749695	1
GC_00000054	SFerroplasmacircular	1
GC_00000054	SMAG00006	1
GC_00000055	S12936484	1
GC_00000055	S259100318	1
GC_00000055	S259100328	1
GC_00000055	S259100333	1
GC_00000055	S259100335	1
GC_00000055	S259100337	1
GC_00000055	S259100341	1
GC_00000055	S25910037	1
GC_00000055	S25910039	1
GC_00000055	S33314612	1
GC_00000055	S749695	1
GC_00000055	SFerroplasmacircular	1
GC_00000055	SMAG00006	1
GC_00000056	S12936484	1
GC_00000056	S259100318	1
GC_00000056	S259100328	1
GC_00000056	S259100333	1
GC_00000056	S259100335	1
GC_00000056	S259100337	1
GC_00000056	S259100341	1
GC_00000056	S25910037	1
GC_00000056	S25910039	1
GC_00000056	S33314612	1
GC_00000056	S749695	1
GC_00000056	SFerroplasmacircular	1
GC_00000056	SMAG00006	1
GC_00000057	S12936484	1
GC_00000057	S259100318	1
GC_00000057	S259100328	1
GC_00000057	S259100333	1
GC_00000057	S259100335	1
GC_00000057	S259100337	1
GC_00000057	S259100341	1
GC_00000057	S25910037	1
GC_00000057	S25910039	1
GC_00000057	S33314612	1
GC_00000057	S749695	1
GC_00000057	SFerroplasmacircular	1
GC_00000057	SMAG00006	1
GC_00000058	S12936484	1
GC_00000058	S259100318	1
GC_00000058	S259100328	1
GC_00000058	S259100333	1
GC_00000058	S259100335	1
GC_00000058	S259100337	1
GC_00000058	S259100341	1
GC_00000058	S25910037	1
GC_00000058	S25910039	1
GC_00000058	S33314612	1
GC_00000058	S749695	1
GC_00000058	SFerroplasmacircular	1
GC_00000058	SMAG00006	1
GC_00000059	S12936484	1
GC_00000059	S259100318	1
GC_00000059	S259100328	1
GC_00000059	S259100333	1
GC_00000059	S259100335	1
GC_00000059	S259100337	1
GC_00000059	S259100341	1
GC_00000059	S25910037	1
GC_00000059	S25910039	1
GC_00000059	S33314612	1
GC_00000059	S749695	1
GC_00000059	SFerroplasmacircular	1
GC_00000059	SMAG00006	1
GC_00000060	S12936484	1
GC_00000060	S259100318	1
GC_00000060	S259100328	1
GC_00000060	S259100333	1
GC_00000060	S259100335	0
GC_00000060	S259100337	1
GC_00000060	S259100341	1
GC_00000060	S25910037	1
GC_00000060	S25910039	1
GC_00000060	S33314612	1
GC_00000060	S749695	1
GC_00000060	SFerroplasmacircular	1
GC_00000060	SMAG00006	1
GC_00000061	S12936484	1
GC_00000061	S259100318	1
GC_00000061	S259100328	1
GC_00000061	S259100333	1
GC_00000061	S259100335	1
GC_00000061	S259100337	1
GC_00000061	S259100341	1
GC_00000061	S25910037	1
GC_00000061	S25910039	1
GC_00000061	S33314612	1
GC_00000061	S749695	1
GC_00000061	SFerroplasmacircular	1
GC_00000061	SMAG00006	1
GC_00000062	S12936484	1
GC_00000062	S259100318	1
GC_00000062	S259100328	1
GC_00000062	S259100333	1
GC_00000062	S259100335	1
GC_00000062	S259100337	1
GC_00000062	S259100341	1
GC_00000062	S25910037	1
GC_00000062	S25910039	1
GC_00000062	S33314612	1
GC_00000062	S749695	1
GC_00000062	SFerroplasmacircular	1
GC_00000062	SMAG00006	1
GC_00000063	S12936484	1
GC_00000063	S259100318	1
GC_00000063	S259100328	1
GC_00000063	S259100333	1
GC_00000063	S259100335	1
GC_00000063	S259100337	1
GC_00000063	S259100341	1
GC_00000063	S25910037	1
GC_00000063	S25910039	1
GC_00000063	S33314612	1
GC_00000063	S749695	1
GC_00000063	SFerroplasmacircular	1
GC_00000063	SMAG00006	1
GC_00000064	S12936484	1
GC_00000064	S259100318	1
GC_00000064	S259100328	1
GC_00000064	S259100333	1
GC_00000064	S259100335	1
GC_00000064	S259100337	1
GC_00000064	S259100341	0
GC_00000064	S25910037	1
GC_00000064	S25910039	1
GC_00000064	S33314612	1
GC_00000064	S749695	1
GC_00000064	SFerroplasmacircular	1
GC_00000064	SMAG00006	1
GC_00000065	S12936484	1
GC_00000065	S259100318	1
GC_00000065	S259100328	1
GC_00000065	S259100333	1
GC_00000065	S259100335	1
GC_00000065	S259100337	1
GC_00000065	S259100341	1
GC_00000065	S25910037	1
GC_00000065	S25910039	1
GC_00000065	S33314612	1
GC_00000065	S749695	1
GC_00000065	SFerroplasmacircular	1
GC_00000065	SMAG00006	1
GC_00000066	S12936484	0
GC_00000066	S259100318	1
GC_00000066	S259100328	0
GC_00000066	S259100333	0
GC_00000066	S259100335	0
GC_00000066	S259100337	0
GC_00000066	S259100341	0
GC_00000066	S25910037	0
GC_00000066	S25910039	0
GC_00000066	S33314612	1
GC_00000066	S749695	1
GC_00000066	SFerroplasmacircular	1
GC_00000066	SMAG00006	1
GC_00000067	S12936484	1
GC_00000067	S259100318	1
GC_00000067	S259100328	1
GC_00000067	S259100333	1
GC_00000067	S259100335	1
GC_00000067	S259100337	1
GC_00000067	S259100341	1
GC_00000067	S25910037	1
GC_00000067	S25910039	1
GC_00000067	S33314612	1
GC_00000067	S749695	1
GC_00000067	SFerroplasmacircular	1
GC_00000067	SMAG00006	1
GC_00000068	S12936484	1
GC_00000068	S259100318	1
GC_00000068	S259100328	1
GC_00000068	S259100333	1
GC_00000068	S259100335	1
GC_00000068	S259100337	1
GC_00000068	S259100341	1
GC_00000068	S25910037	1
GC_00000068	S25910039	1
GC_00000068	S33314612	1
GC_00000068	S749695	1
GC_00000068	SFerroplasmacircular	1
GC_00000068	SMAG00006	1
GC_00000069	S12936484	1
GC_00000069	S259100318	1
GC_00000069	S259100328	1
GC_00000069	S259100333	1
GC_00000069	S259100335	1
GC_00000069	S259100337	1
GC_00000069	S259100341	1
GC_00000069	S25910037	1
GC_00000069	S25910039	1
GC_00000069	S33314612	1
GC_00000069	S749695	1
GC_00000069	SFerroplasmacircular	1
GC_00000069	SMAG00006	1
GC_00000070	S12936484	1
GC_00000070	S259100318	0
GC_00000070	S259100328	0
GC_00000070	S259100333	1
GC_00000070	S259100335	1
GC_00000070	S259100337	1
GC_00000070	S259100341	1
GC_00000070	S25910037	1
GC_00000070	S25910039	1
GC_00000070	S33314612	1
GC_00000070	S749695	1
GC_00000070	SFerroplasmacircular	1
GC_00000070	SMAG00006	1
GC_00000071	S12936484	1
GC_00000071	S259100318	1
GC_00000071	S259100328	1
GC_00000071	S259100333	1
GC_00000071	S259100335	1
GC_00000071	S259100337	1
GC_00000071	S259100341	1
GC_00000071	S25910037	1
GC_00000071	S25910039	1
GC_00000071	S33314612	1
GC_00000071	S749695	1
GC_00000071	SFerroplasmacircular	1
GC_00000071	SMAG00006	1
GC_00000072	S12936484	1
GC_00000072	S259100318	1
GC_00000072	S259100328	1
GC_00000072	S259100333	1
GC_00000072	S259100335	1
GC_00000072	S259100337	1
GC_00000072	S259100341	1
GC_00000072	S25910037	1
GC_00000072	S25910039	1
GC_00000072	S33314612	1
GC_00000072	S749695	1
GC_00000072	SFerroplasmacircular	1
GC_00000072	SMAG00006	1
GC_00000073	S12936484	1
GC_00000073	S259100318	1
GC_00000073	S259100328	1
GC_00000073	S259100333	1
GC_00000073	S259100335	1
GC_00000073	S259100337	1
GC_00000073	S259100341	1
GC_00000073	S25910037	1
GC_00000073	S25910039	1
GC_00000073	S33314612	1
GC_00000073	S749695	1
GC_00000073	SFerroplasmacircular	1
GC_00000073	SMAG00006	1
GC_00000074	S12936484	1
GC_00000074	S259100318	1
GC_00000074	S259100328	1
GC_00000074	S259100333	1
GC_00000074	S259100335	1
GC_00000074	S259100337	1
GC_00000074	S259100341	1
GC_00000074	S25910037	1
GC_00000074	S25910039	1
GC_00000074	S33314612	1
GC_00000074	S749695	1
GC_00000074	SFerroplasmacircular	1
GC_00000074	SMAG00006	1
