"","Function","enrichment_score","unadjusted_p_value","adjusted_q_value","associated_groups","accession","gene_clusters_ids","p_rest","category","Presence","pvalue","Significance","Function_highlight"
"176","DNA-directed RNA polymerase III subunit RPC1 [EC:2.7.7.6]",13.002,0.002,0.044,"MAG00006","K03018","GC_00003603",0,"KOfam","No",1.36051990077452,"Yes",NA
"177","phosphoenolpyruvate---glycerone phosphotransferase subunit DhaM [EC:2.7.1.121]",13.002,0.002,0.044,"MAG00006","K05881","GC_00002907",0,"KOfam","No",1.36051990077452,"Yes","phosphoenolpyruvate"
"178","CRISPR-associated protein Csm5",13.002,0.002,0.044,"MAG00006","K19140","GC_00004047",0,"KOfam","No",1.36051990077452,"Yes","CRISPR"
"179","phosphoenolpyruvate---glycerone phosphotransferase subunit DhaL [EC:2.7.1.121]",13.002,0.002,0.044,"MAG00006","K05879","GC_00002928, GC_00003692",0,"KOfam","No",1.36051990077452,"Yes","phosphoenolpyruvate"
"180","phosphoenolpyruvate---glycerone phosphotransferase subunit DhaK [EC:2.7.1.121]",13.002,0.002,0.044,"MAG00006","K05878","GC_00003152",0,"KOfam","No",1.36051990077452,"Yes","phosphoenolpyruvate"
"181","putative DNA primase/helicase",13.002,0.002,0.044,"MAG00006","K06919","GC_00004397",0,"KOfam","No",1.36051990077452,"Yes",NA
"182","glutathione-independent formaldehyde dehydrogenase [EC:1.2.1.46]",13.002,0.002,0.044,"MAG00006","K00148","GC_00003294",0,"KOfam","No",1.36051990077452,"Yes",NA
"183","membrane protein HdeD",13.002,0.002,0.044,"MAG00006","K21908","GC_00003643",0,"KOfam","No",1.36051990077452,"Yes",NA
"184","CRISPR-associated protein Csb1",13.002,0.002,0.044,"MAG00006","K19131","GC_00004774",0,"KOfam","No",1.36051990077452,"Yes","CRISPR"
"189","aldehyde:ferredoxin oxidoreductase [EC:1.2.7.5]",13.002,0.002,0.044,"Ferroplasma_c","K03738","GC_00003745, GC_00004006",0,"KOfam","No",1.36051990077452,"Yes",NA
"190","putative molybdopterin biosynthesis protein",13.002,0.002,0.044,"Ferroplasma_c","K07219","GC_00003130",0,"KOfam","No",1.36051990077452,"Yes",NA
"191","MFS transporter, ACDE family, multidrug resistance protein",13.002,0.002,0.044,"Ferroplasma_c","K08221","GC_00004738",0,"KOfam","No",1.36051990077452,"Yes",NA
"192","molybdate/tungstate transport system substrate-binding protein",13.002,0.002,0.044,"Ferroplasma_c","K15495","GC_00004635",0,"KOfam","No",1.36051990077452,"Yes",NA
"193","3alpha(or 20beta)-hydroxysteroid dehydrogenase [EC:1.1.1.53]",13.002,0.002,0.044,"Ferroplasma_c","K00038","GC_00004658",0,"KOfam","No",1.36051990077452,"Yes",NA
"194","glycerol uptake facilitator protein",13,0.002,0.044,"Ferroplasma_c, MAG00006","K02440","GC_00002565",0,"KOfam","No",1.36051990077452,"Yes","glycerol uptake facilitator protein"
