"","bins","Sample_ERR10036468","Sample_ERR10036469","Sample_ERR10036470","log10_Sample_ERR10036468","log10_Sample_ERR10036469","log10_Sample_ERR10036470","total_length","num_contigs","N50","GC_content","percent_completion","percent_redundancy","t_domain","t_phylum","t_class","t_order","t_family","t_genus","t_species","MAG_quality","phylum","genus","highlight"
"12","SC_Bin_00032",3.95024745723082,3.36787732356494,0,0.596624302194474,0.52735626374533,-Inf,256610,134,2024,44.709540942654,0,0,"Archaea","Micrarchaeota","Micrarchaeia","Micrarchaeales","Micrarchaeaceae","Micrarchaeum","Micrarchaeum acidiphilum","Low","Micrarchaeota","",""
"13","SC_Bin_00033",1.86591893287254,3.78839203868969,0,0.270892771366047,0.578454915270439,-Inf,189818,105,1866,44.9796608681409,0,0,"","","","","","","","Low",NA,"",""
"14","SC_MAG_00001",45.483493379709,0.0269873475148705,0.000210034613704338,1.65785381347538,-1.56883979852107,-3.6777091276373,2856672,56,78844,70.0224314207141,100,0,"Bacteria","Proteobacteria","Alphaproteobacteria","Rhodobacterales","Rhodobacteraceae","Paracoccus","Paracoccus aeridis","High","Proteobacteria","",""
"15","SC_MAG_00002",86.1873460156109,207.656943439844,0.0249012204490249,1.93544350759963,2.31734645722386,-1.60377936690877,1960426,142,285406,49.6467542142759,100,0,"Bacteria","Actinobacteriota","Actinomycetia","Mycobacteriales","Mycobacteriaceae","Lawsonella","Lawsonella clevelandensis","High","Actinobacteriota","Lawsonella",""
"16","SC_MAG_00003",18.741758057956,0.0369480965457449,0.00110737704596561,1.27281032716315,-1.43240793023188,-2.95570448291348,4334567,460,13808,50.4640736478784,100,0,"Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacterales","Enterobacteriaceae","","","High","Proteobacteria","",""
"17","SC_MAG_00004",68.3577160400494,2208.09344409836,0.118162901778836,1.83478754369507,3.34401744831331,-0.927518852402759,3472215,479,13420,52.0880366096807,98.5915492957746,0,"Bacteria","Proteobacteria","Gammaproteobacteria","Acidithiobacillales","Acidithiobacillaceae","Acidithiobacillus","Acidithiobacillus thiooxidans","High","Proteobacteria","Acidithiobacillus",""
"18","SC_MAG_00005",228.397729963306,0.81179747230292,0.0433862403990454,2.35869178315827,-0.0905523052811168,-1.36264798169126,2833963,118,119523,60.0781718814238,98.5915492957746,1.40845070422535,"Bacteria","Actinobacteriota","Actinomycetia","Propionibacteriales","Propionibacteriaceae","Cutibacterium","Cutibacterium acnes","High","Actinobacteriota","Cutibacterium",""
"19","SC_MAG_00006",630.720658526023,741.201919830597,0.0785384834922839,2.79983705603997,2.86993653553994,-1.10491748882179,2221446,207,23015,29.1079712523,97.3684210526316,1.31578947368421,"Archaea","Thermoplasmatota","Thermoplasmata","Thermoplasmatales","Thermoplasmataceae","Ferroplasma","","High","Thermoplasmatota","Ferroplasma","Ferroplasma MAG6"
"20","SC_MAG_00007",3.7645535984682,60.4687052638461,0,0.575713484861799,1.78153066973399,-Inf,2661438,164,30326,67.1295742376194,97.1830985915493,1.40845070422535,"Bacteria","Actinobacteriota","Acidimicrobiia","Acidimicrobiales","RAAP-2","PALSA-457","PALSA-457 sp003161575","High","Actinobacteriota","",""
"21","SC_MAG_00008",6938.6576684995,9135.98323023564,0.10815198509544,3.84127546129788,3.96075529372327,-0.965965504814036,1873789,189,17962,36.0900709197635,96.0526315789474,1.31578947368421,"Archaea","Thermoplasmatota","Thermoplasmata","Thermoplasmatales","Thermoplasmataceae","Ferroplasma","","High","Thermoplasmatota","Ferroplasma","Ferroplasma MAG8"
"22","SC_MAG_00009",0.32724958965564,7.11878507534979,0,-0.485120889346811,0.852405881264206,-Inf,3340487,1096,3835,64.4195355813564,94.3661971830986,1.40845070422535,"Bacteria","Proteobacteria","Alphaproteobacteria","Acetobacterales","Acetobacteraceae","Acidiphilium","Acidiphilium rubrum","High","Proteobacteria","",""
"23","SC_MAG_00010",13.4902908593317,71.3782639765812,0.00248329508817508,1.1300213134407,1.85356598107327,-2.60497167047704,1988487,45,60327,55.9206467342132,92.9577464788732,0,"Bacteria","Actinobacteriota","Acidimicrobiia","Acidimicrobiales","Acidimicrobiaceae","Ferrimicrobium","Ferrimicrobium acidiphilum","High","Actinobacteriota","",""
"24","SC_MAG_00011",107.421838894986,246.630756988176,0.0649726841942345,2.0310925825499,2.39204723591465,-1.18726919100492,2807349,376,15541,43.9046248761948,96.0526315789474,3.94736842105263,"","","","","","","","High",NA,"",""
"25","SC_MAG_00012",1.43265152902117,9.60928905169456,0,0.156140567628894,0.982691257351416,-Inf,3249955,678,7982,62.0106436560146,94.3661971830986,2.8169014084507,"Bacteria","Actinobacteriota","Acidimicrobiia","Acidimicrobiales","Bog-793","Palsa-601","Palsa-601 sp003136185","High","Actinobacteriota","",""
"26","SC_MAG_00013",8.19654646214737,294.562787193041,0.000253134187979979,0.913630905022444,2.46917788053267,-3.59664919562264,7110853,724,13606,50.4768499640242,95.7746478873239,4.22535211267606,"Bacteria","Proteobacteria","Gammaproteobacteria","Acidithiobacillales","Acidithiobacillaceae","Acidithiobacillus","Acidithiobacillus thiooxidans","High","Proteobacteria","Acidithiobacillus",""
"27","SC_MAG_00014",2.66434514335023,24.2238935657522,0.0237139875278092,0.425590483314822,1.38424394963355,-1.62499541288317,6002955,530,23646,54.6125628516471,97.1830985915493,7.04225352112676,"Bacteria","Firmicutes","Sulfobacillia","Sulfobacillales","Sulfobacillaceae","Sulfobacillus","Sulfobacillus thermotolerans","High","Firmicutes","",""
"28","SC_MAG_00015",22.4463103239075,0.0561201659122593,0.00290432507787894,1.35114496281552,-1.2508810537044,-2.53695477515249,1859296,321,6622,73.616340435213,94.3661971830986,4.22535211267606,"Bacteria","Actinobacteriota","Actinomycetia","Actinomycetales","Micrococcaceae","Micrococcus","Micrococcus luteus","High","Actinobacteriota","",""
"29","SC_MAG_00016",1297.32431737612,1839.56951180966,236.314060871929,3.11304855869006,3.26471620316197,2.3734895632634,4694972,243,32312,65.4762469402017,94.3661971830986,5.63380281690141,"Bacteria","Actinobacteriota","Actinomycetia","Mycobacteriales","Mycobacteriaceae","Mycobacterium","","High","Actinobacteriota","Mycobacterium","C. M. methanotrophicum"
"30","SC_MAG_00017",16.2170793894365,0.0349429042912903,0.000260969187368047,1.20997264276902,-1.45664100132039,-3.58341076678429,2299122,262,11512,56.2041142733124,90.1408450704225,2.8169014084507,"Bacteria","Actinobacteriota","Actinomycetia","Mycobacteriales","Mycobacteriaceae","Corynebacterium","Corynebacterium propinquum","High","Actinobacteriota","",""
"31","SC_MAG_00018",253.135159890611,351.740056634062,0.746346840122079,2.40335247185111,2.54622182917716,-0.127059301555003,2206446,139,48010,39.3133785507722,89.4736842105263,5.26315789473684,"Archaea","Thermoplasmatota","Thermoplasmata","Thermoplasmatales","Thermoplasmataceae","Cuniculiplasma","Cuniculiplasma divulgatum","High","Thermoplasmatota","Cuniculiplasma",""
"32","SC_MAG_00019",378.428179067212,299.464190477455,7.3964005511909,2.57798346799863,2.47634489748379,0.869020422289938,4668437,304,37013,62.7696936486442,83.0985915492958,4.22535211267606,"Bacteria","Actinobacteriota","Actinomycetia","Mycobacteriales","Mycobacteriaceae","Mycobacterium","","High","Actinobacteriota","Mycobacterium",""
"33","SC_MAG_00020",3.75858222219997,8.59053579743743,0,0.575024055249177,0.934020251912,-Inf,998605,198,7528,25.939452320964,83.0985915492958,5.63380281690141,"Bacteria","Dependentiae","Babeliae","Babeliales","Babeliaceae","Babela","Babela massiliensis","High","Dependentiae","",""
