replicon	hit_id	gene_name	hit_pos	model_fqn	sys_id	sys_loci	locus_num	sys_wholeness	sys_score	sys_occ	hit_gene_ref	hit_status	hit_seq_len	hit_i_eval	hit_score	hit_profile_cov	hit_seq_cov	hit_begin_match	hit_end_match	counterpart	used_in
UserReplicon	c_000000049168_2	Cas__cas1_I_II_III_IV_V_VI_7	880	defense-finder-models/Cas/Cas/CAS_Class1-Subtype-I-B	UserReplicon_CAS_Class1-Subtype-I-B_1	1	1	1.000	8.000	1	Cas__cas1_I_II_III_IV_V_VI_7	accessory	331	6.1e-128	423.700	0.997	0.976	5	327		UserReplicon_CAS_Class1-Type-I_6,UserReplicon_CAS_Cluster_10
UserReplicon	c_000000049168_3	Cas__cas4_I_II_III_IV_V_VI_6	881	defense-finder-models/Cas/Cas/CAS_Class1-Subtype-I-B	UserReplicon_CAS_Class1-Subtype-I-B_1	1	1	1.000	8.000	1	Cas__cas4_I_II_III_IV_V_VI_6	accessory	164	3.3e-52	174.000	0.994	0.963	5	162		UserReplicon_CAS_Class1-Type-I_6,UserReplicon_CAS_Cluster_10
UserReplicon	c_000000049168_4	Cas__cas3_I_5	882	defense-finder-models/Cas/Cas/CAS_Class1-Subtype-I-B	UserReplicon_CAS_Class1-Subtype-I-B_1	1	1	1.000	8.000	1	Cas__cas3_I_5	accessory	816	1e-49	166.700	0.696	0.695	148	714		UserReplicon_CAS_Class1-Type-I_6,UserReplicon_CAS_Cluster_10
UserReplicon	c_000000049168_5	Cas__cas5_I-B_8	883	defense-finder-models/Cas/Cas/CAS_Class1-Subtype-I-B	UserReplicon_CAS_Class1-Subtype-I-B_1	1	1	1.000	8.000	1	Cas__cas5_I-B_6	mandatory	261	1.4e-28	97.000	0.825	0.648	2	170		UserReplicon_CAS_Class1-Type-I_6,UserReplicon_CAS_Cluster_10
UserReplicon	c_000000049168_6	Cas__cas7b_I-B_I-C_2	884	defense-finder-models/Cas/Cas/CAS_Class1-Subtype-I-B	UserReplicon_CAS_Class1-Subtype-I-B_1	1	1	1.000	8.000	1	Cas__cas7_I_15	accessory	315	6.1e-55	183.700	0.988	0.848	9	275		UserReplicon_CAS_Class1-Type-I_6,UserReplicon_CAS_Cluster_10
UserReplicon	c_000000049168_7	Cas__cas8b1_I-B_14	885	defense-finder-models/Cas/Cas/CAS_Class1-Subtype-I-B	UserReplicon_CAS_Class1-Subtype-I-B_1	1	1	1.000	8.000	1	Cas__cas8b2_I-B_2	mandatory	631	1.5e-91	305.100	0.998	0.960	1	606		UserReplicon_CAS_Class1-Type-I_6,UserReplicon_CAS_Cluster_10
UserReplicon	c_000000049168_8	Cas__cas6_I_II_III_IV_V_VI_20	886	defense-finder-models/Cas/Cas/CAS_Class1-Subtype-I-B	UserReplicon_CAS_Class1-Subtype-I-B_1	1	1	1.000	8.000	1	Cas__cas6_I-B_III_1	accessory	249	5.6e-31	105.100	0.993	0.594	96	243		UserReplicon_CAS_Class1-Type-I_6,UserReplicon_CAS_Cluster_10
UserReplicon	c_000000101225_2	Cas__csc2gr7_I-D_1	1002	defense-finder-models/Cas/Cas/CAS_Class1-Subtype-I-D	UserReplicon_CAS_Class1-Subtype-I-D_2	1	1	0.750	6.000	1	Cas__csc2gr7_I-D_1	mandatory	345	2.3e-23	80.100	0.861	0.696	65	304		UserReplicon_CAS_Class1-Type-I_7,UserReplicon_CAS_Cluster_11
UserReplicon	c_000000101225_3	Cas__csc1gr5_I-D_2	1003	defense-finder-models/Cas/Cas/CAS_Class1-Subtype-I-D	UserReplicon_CAS_Class1-Subtype-I-D_2	1	1	0.750	6.000	1	Cas__csc1gr5_I-D_2	mandatory	216	1.3e-14	51.400	0.838	0.824	6	183		UserReplicon_CAS_Class1-Type-I_7,UserReplicon_CAS_Cluster_11
UserReplicon	c_000000101225_4	Cas__cas3_I-D_4	1004	defense-finder-models/Cas/Cas/CAS_Class1-Subtype-I-D	UserReplicon_CAS_Class1-Subtype-I-D_2	1	1	0.750	6.000	1	Cas__cas3_I-D_4	accessory	650	3.6e-18	62.900	0.538	0.292	73	262		UserReplicon_CAS_Class1-Type-I_7,UserReplicon_CAS_Cluster_11
UserReplicon	c_000000101225_5	Cas__cas4_I_II_III_IV_V_VI_6	1005	defense-finder-models/Cas/Cas/CAS_Class1-Subtype-I-D	UserReplicon_CAS_Class1-Subtype-I-D_2	1	1	0.750	6.000	1	Cas__cas4_I_II_III_IV_V_VI_1	accessory	171	4.2e-32	108.700	0.957	0.883	19	169		UserReplicon_CAS_Class1-Type-I_7,UserReplicon_CAS_Cluster_11
UserReplicon	c_000000101225_6	Cas__cas1_I_II_III_IV_V_VI_7	1006	defense-finder-models/Cas/Cas/CAS_Class1-Subtype-I-D	UserReplicon_CAS_Class1-Subtype-I-D_2	1	1	0.750	6.000	1	Cas__cas1_I_II_III_IV_V_VI_1	accessory	319	1.4e-100	333.700	1.000	0.978	4	315		UserReplicon_CAS_Class1-Type-I_7,UserReplicon_CAS_Cluster_11
UserReplicon	c_000000101225_7	Cas__cas2_I_II_III_IV_V_VI_5	1007	defense-finder-models/Cas/Cas/CAS_Class1-Subtype-I-D	UserReplicon_CAS_Class1-Subtype-I-D_2	1	1	0.750	6.000	1	Cas__cas2_I_II_III_IV_V_VI_3	accessory	87	4.4e-15	53.000	0.933	0.920	1	80		UserReplicon_CAS_Class1-Type-I_7,UserReplicon_CAS_Cluster_11
UserReplicon	c_000000015663_2	Cas__cas2_I_II_III_IV_V_VI_3	1386	defense-finder-models/Cas/Cas/CAS_Cluster	UserReplicon_CAS_Cluster_12	1	1	0.040	2.000	1	Cas__cas2_I_II_III_IV_V_VI_1	mandatory	97	2e-20	69.900	0.924	0.732	8	78		
UserReplicon	c_000000015663_3	Cas__cas1_I_II_III_IV_V_VI_1	1387	defense-finder-models/Cas/Cas/CAS_Cluster	UserReplicon_CAS_Cluster_12	1	1	0.040	2.000	1	Cas__cas1_I_II_III_IV_V_VI_1	mandatory	545	8.5e-103	340.900	0.994	0.578	219	533		
UserReplicon	c_000000273288_1	Cas__cas2_I_II_III_IV_V_VI_5	1994	defense-finder-models/Cas/Cas/CAS_Class1-Subtype-III-A	UserReplicon_CAS_Class1-Subtype-III-A_4	1	1	1.000	9.000	1	Cas__cas2_I_II_III_IV_V_VI_5	accessory	87	8e-28	93.800	0.989	0.977	1	85		UserReplicon_CAS_Class1-Type-III_8,UserReplicon_CAS_Cluster_13
UserReplicon	c_000000273288_2	Cas__cas1_I_II_III_IV_V_VI_7	1995	defense-finder-models/Cas/Cas/CAS_Class1-Subtype-III-A	UserReplicon_CAS_Class1-Subtype-III-A_4	1	1	1.000	9.000	1	Cas__cas1_I_II_III_IV_V_VI_10	accessory	321	2.6e-106	352.600	1.000	0.981	3	317		UserReplicon_CAS_Class1-Type-III_8,UserReplicon_CAS_Cluster_13
UserReplicon	c_000000273288_3	Cas__csx1_III_7	1996	defense-finder-models/Cas/Cas/CAS_Class1-Subtype-III-A	UserReplicon_CAS_Class1-Subtype-III-A_4	1	1	1.000	9.000	1	Cas__csx1_III_10	accessory	245	1.9e-54	180.500	1.000	0.522	2	129		UserReplicon_CAS_Class1-Type-III_8
UserReplicon	c_000000273288_4	Cas__csm5gr7_III-A_3	1997	defense-finder-models/Cas/Cas/CAS_Class1-Subtype-III-A	UserReplicon_CAS_Class1-Subtype-III-A_4	1	1	1.000	9.000	1	Cas__csm5gr7_III-A_2	mandatory	382	5.6e-42	141.800	0.995	0.997	1	381		UserReplicon_CAS_Class1-Type-III_8,UserReplicon_CAS_Cluster_13
UserReplicon	c_000000273288_5	Cas__csm4gr5_III-A_1	1998	defense-finder-models/Cas/Cas/CAS_Class1-Subtype-III-A	UserReplicon_CAS_Class1-Subtype-III-A_4	1	1	1.000	9.000	1	Cas__csm4gr5_III-A_3	mandatory	301	1.3e-56	189.300	0.993	0.980	3	297		UserReplicon_CAS_Class1-Type-III_8,UserReplicon_CAS_Cluster_13
UserReplicon	c_000000273288_6	Cas__csm3gr7_III-A_1	1999	defense-finder-models/Cas/Cas/CAS_Class1-Subtype-III-A	UserReplicon_CAS_Class1-Subtype-III-A_4	1	1	1.000	9.000	1	Cas__csm3gr7_III-A_1	mandatory	210	6.7e-65	216.000	0.981	0.981	2	207		UserReplicon_CAS_Class1-Type-III_8,UserReplicon_CAS_Cluster_13
UserReplicon	c_000000273288_7	Cas__csm2gr11_III-A_1	2000	defense-finder-models/Cas/Cas/CAS_Class1-Subtype-III-A	UserReplicon_CAS_Class1-Subtype-III-A_4	1	1	1.000	9.000	1	Cas__csm2gr11_III-A_15	mandatory	178	9.7e-18	62.000	0.958	0.494	90	177		UserReplicon_CAS_Class1-Type-III_8,UserReplicon_CAS_Cluster_13
UserReplicon	c_000000273288_8	Cas__cas10_III-A_1	2001	defense-finder-models/Cas/Cas/CAS_Class1-Subtype-III-A	UserReplicon_CAS_Class1-Subtype-III-A_4	1	1	1.000	9.000	1	Cas__cas10_III-A_1	mandatory	768	8e-136	451.300	0.998	0.818	9	636		UserReplicon_CAS_Class1-Type-III_8,UserReplicon_CAS_Cluster_13
UserReplicon	c_000000273288_9	Cas__cas6_I_II_III_IV_V_VI_14	2002	defense-finder-models/Cas/Cas/CAS_Class1-Subtype-III-A	UserReplicon_CAS_Class1-Subtype-III-A_4	1	1	1.000	9.000	1	Cas__cas6_I_II_III_IV_V_VI_15	accessory	238	5.1e-56	187.400	0.992	0.983	1	234		UserReplicon_CAS_Class1-Type-III_8,UserReplicon_CAS_Cluster_13
