contig_id	contig_length	genomad_taxonomy	vcat_taxonomy	vcontact3_taxonomy	checkv_quality	iphop_host	bacphlip_virulent_score	abundance_Sample_ERR10036468	abundance_Sample_ERR10036469	abundance_Sample_ERR10036470
c_000000252763	13933	"Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes"	"r_Duplodnaviria;k_Heunggongvirae;p_Uroviricota;sp_;c_Caudoviricetes;o_;so_;f_;sf_;g_;s_"	"r_Duplodnaviria;p_Uroviricota;c_Caudoviricetes;o_novel_order_42_of_Caudoviricetes;f_novel_family_0_of_novel_order_42_of_Caudoviricetes;sf_novel_subfamily_1_of_novel_family_0_of_novel_order_42_of_Caudoviricetes;g_novel_genus_0_of_novel_subfamily_1_of_novel_family_0_of_novel_order_42_of_Caudoviricetes"	Low-quality	NA	0.775	9,69E+08	8,21E+06	0
c_000000049157	5673	"Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes"	"r_Duplodnaviria;k_Heunggongvirae;p_Uroviricota;sp_;c_Caudoviricetes;o_;so_;f_;sf_;g_Lambdavirus;s_"	"r_Duplodnaviria;p_Uroviricota;c_Caudoviricetes;o_novel_order_50_of_Caudoviricetes;f_novel_family_2_of_novel_order_50_of_Caudoviricetes;sf_novel_subfamily_0_of_novel_family_2_of_novel_order_50_of_Caudoviricetes;g_novel_genus_0_of_novel_subfamily_0_of_novel_family_2_of_novel_order_50_of_Caudoviricetes"	Low-quality	"d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Escherichia"	0.8717607050648603	0.00308556218652055	5,87E+08	5,02E+09
c_000000344361	12746	"Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes"	"r_Duplodnaviria;k_Heunggongvirae;p_Uroviricota;sp_;c_Caudoviricetes;o_;so_;f_;sf_;g_;s_"	"r_Duplodnaviria;p_Uroviricota;c_Caudoviricetes;o_novel_order_62_of_Caudoviricetes;f_novel_family_0_of_novel_order_62_of_Caudoviricetes;sf_novel_subfamily_0_of_novel_family_0_of_novel_order_62_of_Caudoviricetes;g_novel_genus_0_of_novel_subfamily_0_of_novel_family_0_of_novel_order_62_of_Caudoviricetes"	Low-quality	NA	0.0	8,56E+09	0	0
c_000000357589	3401	NA	"r_Duplodnaviria;k_Heunggongvirae;p_Uroviricota;sp_;c_Caudoviricetes;o_;so_;f_Casjensviridae;sf_;g_Ahduovirus;s_"	"r_Duplodnaviria;p_Uroviricota;c_Caudoviricetes;o_novel_order_76_of_Caudoviricetes;f_novel_family_0_of_novel_order_76_of_Caudoviricetes;sf_novel_subfamily_0_of_novel_family_0_of_novel_order_76_of_Caudoviricetes;g_novel_genus_0_of_novel_subfamily_0_of_novel_family_0_of_novel_order_76_of_Caudoviricetes"	Low-quality	NA	0.8118782016546146	0.00773212709297184	0.00495312714965403	0.106828942136455
c_000000031842	15870	"Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes"	"r_Duplodnaviria;k_Heunggongvirae;p_Uroviricota;sp_;c_Caudoviricetes;o_;so_;f_;sf_;g_;s_"	"r_Duplodnaviria;p_Uroviricota;c_Caudoviricetes;o_novel_order_92_of_Caudoviricetes;f_novel_family_0_of_novel_order_92_of_Caudoviricetes;sf_novel_subfamily_0_of_novel_family_0_of_novel_order_92_of_Caudoviricetes;g_novel_genus_0_of_novel_subfamily_0_of_novel_family_0_of_novel_order_92_of_Caudoviricetes"	Low-quality	NA	0.9501101321585903	7,59E+09	1,92E+07	0
c_000000459396	17932	"Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;Rountreeviridae"	"r_Duplodnaviria;k_Heunggongvirae;p_Uroviricota;sp_;c_Caudoviricetes;o_;so_;f_Rountreeviridae;sf_Rakietenvirinae;g_Andhravirus;s_Andhravirus besep3"	"r_Duplodnaviria;p_Uroviricota;c_Caudoviricetes;o_novel_order_94_of_Caudoviricetes;f_Rountreeviridae;sf_Rakietenvirinae;g_Andhravirus"	High-quality	NA	0.8118071216268212	0.000189954360900939	1,49E+07	0
c_000000199481	27993	"Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes"	"r_Duplodnaviria;k_Heunggongvirae;p_Uroviricota;sp_;c_Caudoviricetes;o_;so_;f_;sf_;g_;s_"	"r_Duplodnaviria;p_Uroviricota;c_Caudoviricetes;o_novel_order_97_of_Caudoviricetes;f_novel_family_0_of_novel_order_97_of_Caudoviricetes;sf_novel_subfamily_0_of_novel_family_14_of_novel_order_13_of_Caudoviricetes||novel_family_0_of_novel_order_97_of_Caudoviricetes;g_novel_genus_0_of_novel_subfamily_0_of_novel_family_14_of_novel_order_13_of_Caudoviricetes||novel_family_0_of_novel_order_97_of_Caudoviricetes"	Medium-quality	NA	0.9646332975181562	0.000350601155490526	4,35E+07	2,26E+08
c_000000070763	3497	NA	"r_Monodnaviria;k_Loebvirae;p_Hofneiviricota;sp_;c_Faserviricetes;o_Tubulavirales;so_;f_Inoviridae;sf_;g_Psecadovirus;s_"	"r_Monodnaviria;p_Hofneiviricota|Saleviricota|Phixviricota;c_Faserviricetes|Huolimaviricetes|Malgrandaviricetes;o_novel_order_0_of_Faserviricetes|Huolimaviricetes|Malgrandaviricetes;f_novel_family_0_of_novel_order_0_of_Faserviricetes|Huolimaviricetes|Malgrandaviricetes;sf_novel_subfamily_0_of_novel_family_0_of_novel_order_0_of_Faserviricetes|Huolimaviricetes|Malgrandaviricetes;g_novel_genus_0_of_novel_subfamily_0_of_novel_family_0_of_novel_order_0_of_Faserviricetes|Huolimaviricetes|Malgrandaviricetes"	Not-determined	NA	0.8118782016546146	0.000361152690230805	0.00240367539887257	0
c_000000001655	1504	NA	"r_Duplodnaviria;k_Heunggongvirae;p_Uroviricota;sp_;c_Caudoviricetes;o_;so_;f_;sf_;g_Sleepyheadvirus;s_"	"r_No Realm;p_;c_;o_;f_;sf_;g_"	Not-determined	"d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Mycobacteriales;f__Mycobacteriaceae;g__Mycobacterium"	0.7694011458251182	0.00189374583987991	0.000939611655945998	0
c_000000001889	5639	"Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes"	"r_Duplodnaviria;k_Heunggongvirae;p_Uroviricota;sp_;c_Caudoviricetes;o_;so_;f_;sf_;g_Papyrusvirus;s_"	"r_No Realm;p_;c_;o_;f_;sf_;g_"	Not-determined	NA	0.8118782016546146	0.000189381203436662	0.00300713638000636	0
c_000000002607	4137	NA	NA	"r_No Realm;p_;c_;o_;f_;sf_;g_"	Not-determined	NA	0.7828396201943331	0.00366270829339967	0.000313601834469928	0
c_000000002743	1654	NA	"r_Duplodnaviria;k_Heunggongvirae;p_Uroviricota;sp_;c_Caudoviricetes;o_;so_;f_;sf_;g_;s_"	"r_No Realm;p_;c_;o_;f_;sf_;g_"	Not-determined	"d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Acidithiobacillales;f__Acidithiobacillaceae;g__Acidithiobacillus"	0.9284736410929751	0.000227332618540781	0.00298526783400961	0
c_000000003773	2844	NA	NA	"r_No Realm;p_;c_;o_;f_;sf_;g_"	Not-determined	NA	0.9107929515418502	0.000547813361889847	0.00015982933681226	5,56E+09
c_000000005140	9095	NA	"r_Duplodnaviria;k_Heunggongvirae;p_Uroviricota;sp_;c_Caudoviricetes;o_;so_;f_;sf_;g_;s_"	"r_No Realm;p_;c_;o_;f_;sf_;g_"	Not-determined	NA	0.964110712130639	4,56E+09	0.000818045251965849	0
c_000000005420	3486	NA	NA	"r_No Realm;p_;c_;o_;f_;sf_;g_"	Not-determined	NA	0.931779094256249	0.000603475073929273	0.00108395423427582	0
c_000000005507	6387	"Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes"	"r_Varidnaviria;k_Bamfordvirae;p_Nucleocytoviricota;sp_;c_Megaviricetes;o_;so_;f_;sf_;g_;s_"	"r_No Realm;p_;c_;o_;f_;sf_;g_"	Not-determined	NA	0.8118782016546146	0.000600319071509889	0.000153716039787906	0
c_000000005557	10501	"Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes"	NA	"r_No Realm;p_;c_;o_;f_;sf_;g_"	Not-determined	NA	0.8118782016546146	0.000107777487183595	1,30E+08	0
c_000000005590	2947	"Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes"	"r_Duplodnaviria;k_Heunggongvirae;p_Uroviricota;sp_;c_Caudoviricetes;o_;so_;f_;sf_;g_;s_"	"r_No Realm;p_;c_;o_;f_;sf_;g_"	Not-determined	"d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Acidithiobacillales;f__Acidithiobacillaceae;g__Acidithiobacillus"	0.0	6,78E+09	0.00119737828746331	0
c_000000006885	2443	NA	"r_Duplodnaviria;k_Heunggongvirae;p_Uroviricota;sp_;c_Caudoviricetes;o_;so_;f_;sf_;g_;s_"	"r_No Realm;p_;c_;o_;f_;sf_;g_"	Low-quality	NA	0.9752202643171806	0.000124536113370587	0.00200398210892553	0
c_000000006941	14420	NA	NA	"r_No Realm;p_;c_;o_;f_;sf_;g_"	Low-quality	NA	0.925	0.000223324467249408	0.0029984321568402	0
c_000000007225	1583	NA	"r_Duplodnaviria;k_Heunggongvirae;p_Uroviricota;sp_;c_Caudoviricetes;o_;so_;f_;sf_;g_Latrobevirus;s_"	"r_No Realm;p_;c_;o_;f_;sf_;g_"	Low-quality	NA	0.8338669542239673	0.00016646518327195	0.00211032426555212	0
c_000000007471	4089	NA	NA	"r_No Realm;p_;c_;o_;f_;sf_;g_"	Not-determined	NA	0.8118782016546146	0.000115476067804813	0.00144718454870796	0
c_000000007539	2727	NA	NA	"r_No Realm;p_;c_;o_;f_;sf_;g_"	Not-determined	NA	0.8118782016546146	0.000262416748628447	0.00439902097033308	0
c_000000007966	3384	NA	NA	"r_No Realm;p_;c_;o_;f_;sf_;g_"	Not-determined	NA	0.7371979405569971	0.000809057790824182	0.0121475945223942	0
c_000000008508	4293	"Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes"	"r_Duplodnaviria;k_Heunggongvirae;p_Uroviricota;sp_;c_Caudoviricetes;o_;so_;f_;sf_;g_Attoomivirus;s_"	"r_No Realm;p_;c_;o_;f_;sf_;g_"	Not-determined	NA	0.8550238645244239	4,64E+09	0.000907333351508149	0
c_000000009082	4653	NA	"r_Duplodnaviria;k_Heunggongvirae;p_Uroviricota;sp_;c_Caudoviricetes;o_;so_;f_;sf_;g_;s_"	"r_No Realm;p_;c_;o_;f_;sf_;g_"	Low-quality	NA	0.7009985022891656	0.00112773953991735	0.000568764077164568	0.000427290724474583
c_000000009311	4238	"Viruses;Varidnaviria;Bamfordvirae;Nucleocytoviricota;Megaviricetes"	NA	"r_No Realm;p_;c_;o_;f_;sf_;g_"	Low-quality	NA	0.875	0.000991967044961473	0.000835975152634542	0
c_000000009941	4298	NA	NA	"r_No Realm;p_;c_;o_;f_;sf_;g_"	Not-determined	NA	0.8118782016546146	0.000288100653303568	0.00311601057722049	0
c_000000011354	2152	NA	NA	"r_No Realm;p_;c_;o_;f_;sf_;g_"	Not-determined	NA	0.8118782016546146	5,95E+09	0.000880702628642757	0
c_000000011535	6035	Unclassified	"r_Duplodnaviria;k_Heunggongvirae;p_Uroviricota;sp_;c_Caudoviricetes;o_;so_;f_;sf_;g_;s_"	"r_No Realm;p_;c_;o_;f_;sf_;g_"	Low-quality	NA	0.992566079295154	0.00475517298818354	0.000650342257039001	0
c_000000011821	2009	NA	"r_Monodnaviria;k_Loebvirae;p_Hofneiviricota;sp_;c_Faserviricetes;o_Tubulavirales;so_;f_Inoviridae;sf_;g_Fibrovirus;s_"	"r_No Realm;p_;c_;o_;f_;sf_;g_"	Low-quality	NA	0.8118782016546146	0.000381525386587633	0.000957311101556894	0
c_000000012616	3001	NA	NA	"r_No Realm;p_;c_;o_;f_;sf_;g_"	Not-determined	NA	0.8118782016546146	0.000189907967165373	0.000856570451407742	0
c_000000012793	2054	NA	"r_Duplodnaviria;k_Heunggongvirae;p_Uroviricota;sp_;c_Caudoviricetes;o_;so_;f_Mesyanzhinovviridae;sf_Bradleyvirinae;g_Abidjanvirus;s_"	"r_No Realm;p_;c_;o_;f_;sf_;g_"	Not-determined	NA	0.8118782016546146	0.000127221956426599	0.0026561302220487	0
c_000000013191	2097	NA	NA	"r_No Realm;p_;c_;o_;f_;sf_;g_"	Not-determined	NA	0.8118782016546146	0.00135437252254614	0.000309628275582964	0
c_000000013659	11774	NA	"r_Duplodnaviria;k_Heunggongvirae;p_Uroviricota;sp_;c_Caudoviricetes;o_;so_;f_;sf_;g_;s_"	"r_No Realm;p_;c_;o_;f_;sf_;g_"	Not-determined	NA	0.1375	0.000312285383411833	4,48E+07	2,69E+08
c_000000014801	4871	NA	"r_Duplodnaviria;k_Heunggongvirae;p_Uroviricota;sp_;c_Caudoviricetes;o_;so_;f_;sf_;g_;s_"	"r_No Realm;p_;c_;o_;f_;sf_;g_"	Not-determined	NA	0.9021613729235908	0.000169119837453298	0.00242133911618153	0
c_000000015495	1769	NA	"r_Duplodnaviria;k_Heunggongvirae;p_Uroviricota;sp_;c_Caudoviricetes;o_Adrikavirales;so_;f_Satyavativiridae;sf_;g_Vyasavirus;s_"	"r_No Realm;p_;c_;o_;f_;sf_;g_"	Not-determined	NA	0.8118782016546146	6,62E+09	0.00116847903260863	0
c_000000015783	2329	NA	NA	"r_No Realm;p_;c_;o_;f_;sf_;g_"	Not-determined	"d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Acidithiobacillales;f__Acidithiobacillaceae;g__Acidithiobacillus"	0.8118782016546146	0.000378096112205297	0.00655519075934136	0
c_000000017028	2667	NA	"r_Duplodnaviria;k_Heunggongvirae;p_Uroviricota;sp_;c_Caudoviricetes;o_;so_;f_Vilmaviridae;sf_Lclasvirinae;g_Faithunavirus;s_"	"r_No Realm;p_;c_;o_;f_;sf_;g_"	Not-determined	NA	0.9128303964757711	0.00672021169473496	0.00436031968803738	0.0450501456793424
c_000000017450	2057	NA	NA	"r_No Realm;p_;c_;o_;f_;sf_;g_"	Not-determined	"d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Acidithiobacillales;f__Acidithiobacillaceae;g__Acidithiobacillus"	0.8118782016546146	3,72E+09	0.0011158554678325	0
c_000000019463	2535	NA	"r_Duplodnaviria;k_Heunggongvirae;p_Uroviricota;sp_;c_Caudoviricetes;o_;so_;f_;sf_;g_Detrevirus;s_"	"r_No Realm;p_;c_;o_;f_;sf_;g_"	Not-determined	NA	0.9625	7,58E+08	0.000945708310773697	0
c_000000019799	2688	Unclassified	NA	"r_No Realm;p_;c_;o_;f_;sf_;g_"	Not-determined	NA	0.8118782016546146	0.000611685161598084	1,39E+08	8,04E+08
c_000000020348	4364	NA	NA	"r_No Realm;p_;c_;o_;f_;sf_;g_"	Not-determined	NA	0.8118782016546146	0.00306553737417813	0.00131692571981327	0
c_000000021407	2719	NA	NA	"r_No Realm;p_;c_;o_;f_;sf_;g_"	Not-determined	NA	0.8118782016546146	0.0018743612117837	0.0129757070133043	0
c_000000021531	2290	NA	NA	"r_No Realm;p_;c_;o_;f_;sf_;g_"	Low-quality	"d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Acidithiobacillales;f__Acidithiobacillaceae;g__Acidithiobacillus"	0.9007668594102297	0.000385079819975423	0.00571865862424323	0
c_000000022298	2637	NA	"r_Duplodnaviria;k_Heunggongvirae;p_Uroviricota;sp_;c_Caudoviricetes;o_;so_;f_;sf_;g_Ruthyvirus;s_"	"r_No Realm;p_;c_;o_;f_;sf_;g_"	Not-determined	"d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Mycobacteriales;f__Mycobacteriaceae;g__Mycobacterium"	0.8118782016546146	0.00136429614083655	0.000310306668201527	0
c_000000022307	3315	NA	"r_Duplodnaviria;k_Heunggongvirae;p_Uroviricota;sp_;c_Caudoviricetes;o_;so_;f_Schitoviridae;sf_;g_Oliverunavirus;s_"	"r_No Realm;p_;c_;o_;f_;sf_;g_"	Not-determined	NA	0.8118782016546146	0.000280432050402523	0.00345721846403306	0
c_000000022400	2627	NA	"r_Duplodnaviria;k_Heunggongvirae;p_Uroviricota;sp_;c_Caudoviricetes;o_;so_;f_Peduoviridae;sf_;g_;s_"	"r_No Realm;p_;c_;o_;f_;sf_;g_"	Low-quality	NA	0.275	0.00129576998991336	0.0174110791921238	0
c_000000022414	2047	NA	NA	"r_No Realm;p_;c_;o_;f_;sf_;g_"	Not-determined	"d__Archaea;p__Thermoplasmatota;c__Thermoplasmata;o__Thermoplasmatales;f__Thermoplasmataceae;g__Ferroplasma"	0.9593791193933999	0.00480938549002602	0.00180142182881478	0
c_000000022929	3063	"Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes"	"r_Duplodnaviria;k_Heunggongvirae;p_Uroviricota;sp_;c_Caudoviricetes;o_;so_;f_;sf_;g_;s_"	"r_No Realm;p_;c_;o_;f_;sf_;g_"	Not-determined	NA	0.8871118181039386	7,42E+09	0.00115649931267997	0
c_000000023086	2182	NA	"r_Duplodnaviria;k_Heunggongvirae;p_Uroviricota;sp_;c_Caudoviricetes;o_;so_;f_Vertoviridae;sf_;g_Myohalovirus;s_"	"r_No Realm;p_;c_;o_;f_;sf_;g_"	Low-quality	NA	0.1375	0.000796340173648261	0.000341146092834183	0
c_000000023918	2373	NA	NA	"r_No Realm;p_;c_;o_;f_;sf_;g_"	Not-determined	NA	0.8163115634036613	6,26E+08	0.000905682195057576	0
c_000000024718	2175	NA	NA	"r_No Realm;p_;c_;o_;f_;sf_;g_"	Not-determined	NA	0.8118782016546146	5,75E+07	0.000971750585032644	0
c_000000025170	2036	NA	NA	"r_No Realm;p_;c_;o_;f_;sf_;g_"	Not-determined	NA	0.8118782016546146	0.000184175470191943	0.00291074996364754	0
c_000000025738	2278	NA	NA	"r_No Realm;p_;c_;o_;f_;sf_;g_"	Not-determined	NA	0.1375	0.000252572438035978	0.00432067921775495	0
c_000000025965	1774	NA	NA	"r_No Realm;p_;c_;o_;f_;sf_;g_"	Not-determined	NA	0.8118782016546146	0.00153273623355768	0.00191037957070112	0
c_000000026194	3734	NA	NA	"r_No Realm;p_;c_;o_;f_;sf_;g_"	Not-determined	NA	0.964110712130639	0.000678373696980188	3,74E+09	0
c_000000026481	16479	"Viruses;Varidnaviria;Bamfordvirae;Nucleocytoviricota;Megaviricetes;Imitervirales;Mimiviridae"	"r_Varidnaviria;k_Bamfordvirae;p_Nucleocytoviricota;sp_;c_Megaviricetes;o_Imitervirales;so_;f_Mimiviridae;sf_Megamimivirinae;g_Moumouvirus;s_"	"r_No Realm;p_;c_;o_;f_;sf_;g_"	Low-quality	NA	0.8901950752455295	6,91E+09	5,31E+09	0
c_000000026658	3414	NA	"r_Duplodnaviria;k_Heunggongvirae;p_Uroviricota;sp_;c_Caudoviricetes;o_;so_;f_Lindbergviridae;sf_;g_Irusalimvirus;s_"	"r_No Realm;p_;c_;o_;f_;sf_;g_"	Not-determined	NA	0.8118782016546146	0.000222211478300045	0.002972320611761	0
c_000000026684	2781	NA	"r_Duplodnaviria;k_Heunggongvirae;p_Uroviricota;sp_;c_Caudoviricetes;o_;so_;f_;sf_;g_Gervaisevirus;s_"	"r_No Realm;p_;c_;o_;f_;sf_;g_"	Low-quality	NA	0.8118782016546146	0.000205854384700619	0.00297781211435687	0
c_000000027202	2400	NA	NA	"r_No Realm;p_;c_;o_;f_;sf_;g_"	Not-determined	NA	0.9565309675066963	0.000489401977165314	0.00013021004171057	0
c_000000028054	2227	NA	NA	"r_No Realm;p_;c_;o_;f_;sf_;g_"	Low-quality	"d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Mycobacteriales;f__Mycobacteriaceae;g__Mycobacterium"	0.7883883701305752	0.00633634310439707	0.00377716742996123	0.0483527202723972
c_000000028142	12887	NA	"r_Varidnaviria;k_Bamfordvirae;p_Nucleocytoviricota;sp_;c_Megaviricetes;o_Imitervirales;so_;f_;sf_;g_;s_"	"r_No Realm;p_;c_;o_;f_;sf_;g_"	Low-quality	NA	0.8118782016546146	7,01E+09	2,02E+09	6,84E+09
c_000000028346	2415	NA	"r_Riboviria;k_Pararnavirae;p_Artverviricota;sp_;c_Revtraviricetes;o_Ortervirales;so_;f_Retroviridae;sf_Orthoretrovirinae;g_Gammaretrovirus;s_"	"r_No Realm;p_;c_;o_;f_;sf_;g_"	Not-determined	NA	0.45	0.000194394035318409	0.00215327648747452	0
